"","bin_arch","sample","sum","bin_arch_name"
"150","_1.1.1_","KG107",5838.455355849,"PSII"
"151","_1.1.1_","KG117",8875.770192035,"PSII"
"152","_1.1.1_","KG121",5580.628199891,"PSII"
"153","_1.1.1_","QL114",2435.30804413,"PSII"
"154","_1.1.1_","QL141",7496.00788004,"PSII"
"155","_1.1.1_","QL145",2632.790726018,"PSII"
"156","_1.1.1_","QL227",14578.035591603,"PSII"
"157","_1.1.1_","QL230",17024.20338336,"PSII"
"158","_1.1.1_","QL233",17561.243029633,"PSII"
"159","_1.1.1_","QL309",5509.626616372,"PSII"
"160","_1.1.1_","QL318",7342.625323846,"PSII"
"161","_1.1.1_","QL332",3222.840523434,"PSII"
"162","_1.1.1_","QL400",5885.241445134,"PSII"
"163","_1.1.1_","QL402",4820.47976614,"PSII"
"164","_1.1.1_","QL404",2361.406458087,"PSII"
"165","_1.1.1_","QL407",3606.262185801,"PSII"
"166","_1.1.1_","QL448",10347.24192482,"PSII"
"167","_1.1.1_","RH007",10506.821283126,"PSII"
"168","_1.1.1_","RH061",6244.708029944,"PSII"
"169","_1.1.1_","RH100",2475.445691442,"PSII"
"170","_1.1.1_","T021",6749.952681847,"PSII"
"171","_1.1.1_","T058",12664.674606086,"PSII"
"172","_1.1.1_","T146",5615.797491298,"PSII"
"173","_1.1.1_","T167",5588.926570886,"PSII"
"174","_1.1.1_","T341",20348.355822112,"PSII"
"175","_1.1.1_","YG022",10581.16178603,"PSII"
"176","_1.1.1_","YG030",4203.558014129,"PSII"
"177","_1.1.1_","YG070",10122.402523872,"PSII"
"178","_1.1.1_","YG072",5430.326334009,"PSII"
"179","_1.1.1_","YG187",10919.910770475,"PSII"
"180","_1.1.1_","KG037",8946.259434146,"PSII"
"181","_1.1.1_","KG051",20027.536783972,"PSII"
"182","_1.1.1_","KG103",9427.999552981,"PSII"
"183","_1.1.1_","KG118",12773.78788175,"PSII"
"184","_1.1.1_","KG119",8637.449970316,"PSII"
"185","_1.1.1_","QL107",10033.559159867,"PSII"
"186","_1.1.1_","QL115",10012.457139408,"PSII"
"187","_1.1.1_","QL134",6360.475954583,"PSII"
"188","_1.1.1_","QL143",8135.767622718,"PSII"
"189","_1.1.1_","QL148",9837.321866911,"PSII"
"190","_1.1.1_","QL156",5497.951014001,"PSII"
"191","_1.1.1_","QL174",9178.050644463,"PSII"
"192","_1.1.1_","QL226",9550.1343995,"PSII"
"193","_1.1.1_","QL242",12213.103092852,"PSII"
"194","_1.1.1_","QL308",7237.118123693,"PSII"
"195","_1.1.1_","QL311",7068.234792494,"PSII"
"196","_1.1.1_","QL312",3863.222149465,"PSII"
"197","_1.1.1_","QL313",6916.944416621,"PSII"
"198","_1.1.1_","QL326",2230.557560522,"PSII"
"199","_1.1.1_","QL408",2983.157534874,"PSII"
"200","_1.1.1_","QL410",10841.279932176,"PSII"
"201","_1.1.1_","QL415",5891.059665276,"PSII"
"202","_1.1.1_","RH010",7660.50389532,"PSII"
"203","_1.1.1_","RH064",10429.805842564,"PSII"
"204","_1.1.1_","RH096",7113.958988844,"PSII"
"205","_1.1.1_","RH098",4315.305166663,"PSII"
"206","_1.1.1_","RH104",8265.841541696,"PSII"
"207","_1.1.1_","RH117",9172.309270619,"PSII"
"208","_1.1.1_","RH120",7838.698493532,"PSII"
"209","_1.1.1_","RH121",10608.628356176,"PSII"
"210","_1.1.1_","RH125",14647.97978908,"PSII"
"211","_1.1.1_","T017",8470.525442311,"PSII"
"212","_1.1.1_","T147",12142.506901668,"PSII"
"213","_1.1.1_","T151",2989.324103842,"PSII"
"214","_1.1.1_","T163",7812.297912321,"PSII"
"215","_1.1.1_","T217",15508.56524993,"PSII"
"216","_1.1.1_","T223",7158.894600852,"PSII"
"217","_1.1.1_","T226",21338.032458803,"PSII"
"218","_1.1.1_","T247",18196.595699748,"PSII"
"219","_1.1.1_","T324",7604.107547119,"PSII"
"220","_1.1.1_","T325",5811.850876348,"PSII"
"221","_1.1.1_","T329",4855.519430015,"PSII"
"222","_1.1.1_","T340",18586.527527381,"PSII"
"223","_1.1.1_","T378",16010.113424074,"PSII"
"224","_1.1.1_","T399",6599.791313224,"PSII"
"225","_1.1.1_","T402",10227.61306057,"PSII"
"226","_1.1.1_","YG169",6565.748342413,"PSII"
"227","_1.1.1_","YG170",5801.093537859,"PSII"
"228","_1.1.1_","KG141",14048.132680028,"PSII"
"229","_1.1.1_","QL142",8113.262294313,"PSII"
"230","_1.1.1_","QL154",6377.989594004,"PSII"
"231","_1.1.1_","QL173",6623.14109612,"PSII"
"232","_1.1.1_","QL239",10174.060543114,"PSII"
"233","_1.1.1_","QL329",4878.675663632,"PSII"
"234","_1.1.1_","QL403",7620.971029252,"PSII"
"235","_1.1.1_","QL414",7160.116842121,"PSII"
"236","_1.1.1_","QL416",4688.410652643,"PSII"
"237","_1.1.1_","QL451",6121.896710912,"PSII"
"238","_1.1.1_","T154",15531.517322194,"PSII"
"239","_1.1.1_","T381",23234.751043923,"PSII"
"240","_1.1.1_","YG019",5633.425742056,"PSII"
"241","_1.1.1_","YG031",5152.658154771,"PSII"
"242","_1.1.1_","YG168",4484.798770051,"PSII"
"243","_1.1.1_","QL130",11471.167592539,"PSII"
"244","_1.1.1_","QL320",6684.143567566,"PSII"
"245","_1.1.1_","QL405",6708.585836837,"PSII"
"246","_1.1.1_","RH009",5416.432076609,"PSII"
"247","_1.1.1_","RH102",8442.514512218,"PSII"
"248","_1.1.1_","T327",8700.287330442,"PSII"
"249","_1.1.1_","YG120",18554.16838714,"PSII"
"250","_1.1.1_","YG203",8545.203328521,"PSII"
"251","_1.1.1_","RH119",10436.234237172,"PSII"
"252","_1.1.1_","T051",14905.352920791,"PSII"
"253","_1.1.1_","T250",14321.040414464,"PSII"
"254","_1.1.1_","YG084",3728.851087362,"PSII"
"255","_1.1.1_","YG085",7479.711871078,"PSII"
"256","_1.1.1_","YG086",6617.161513864,"PSII"
"257","_1.1.1_","YG125",11613.072787101,"PSII"
"258","_1.1.1_","YG127",11364.38149682,"PSII"
"259","_1.1.1_","YG129",9423.626174779,"PSII"
"260","_1.1.1_","YG137",10558.622472613,"PSII"
"261","_1.1.1_","QL138",7222.089623735,"PSII"
"262","_1.1.1_","QL155",7467.178162313,"PSII"
"263","_1.1.1_","QL316",5120.285591541,"PSII"
"264","_1.1.1_","T337",12643.356826458,"PSII"
"265","_1.1.1_","YG123",12813.992161832,"PSII"
"266","_1.1.1_","YG124",6462.914045914,"PSII"
"267","_1.1.1_","KG134",8952.922507589,"PSII"
"268","_1.1.1_","KG138",9393.214009186,"PSII"
"269","_1.1.1_","QL131",12280.540398888,"PSII"
"270","_1.1.1_","QL146",4307.282504686,"PSII"
