species_confirmed,species_full,lineage,sample,leaf_age,biological_rep,site_revised,date,ID,Latitude,Longitude
corgum,Corymbia gummifera,Angophora_Corymbia,KG036,old,1,NSW_Kuringai_top,140604,corgum_46,-33.6933,151.14541
corgum,Corymbia gummifera,Angophora_Corymbia,KG142,mid,3,NSW_Kuringai_bottom,140618,corgum_46,-33.68188,151.14428
corgum,Corymbia gummifera,Angophora_Corymbia,KG143,new,3,NSW_Kuringai_bottom,140618,corgum_46,-33.68188,151.14428
corgum,Corymbia gummifera,Angophora_Corymbia,KG141,old,3,NSW_Kuringai_bottom,140618,corgum_46,-33.68188,151.14428
corgum,Corymbia gummifera,Angophora_Corymbia,KG079,new,2,NSW_Kuringai_top,140611,corgum_46,-33.6933,151.14541
corint,Corymbia intermedia,Angophora_Corymbia,QL110,new,2,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL112,old,2,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL106,new,1,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL107,mid,1,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL108,old,1,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL116,old,3,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL111,mid,2,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL115,mid,3,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corint,Corymbia intermedia,Angophora_Corymbia,QL114,new,3,QLD_Cardwell_S,150809,corint_48,-18.43758,146.13636
corpoc,Corymbia pocillum,Angophora_Corymbia,QL400,new,3,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL401,mid,3,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL399,old,2,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL397,new,2,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL398,mid,2,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL404,mid,1,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL402,old,3,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL403,new,1,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corpoc,Corymbia pocillum,Angophora_Corymbia,QL405,old,1,QLD_Croydon,150823,corpoc_49,-18.18903,142.26241
corter,Corymbia terminalis,Angophora_Corymbia,QL452,mid,2,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL453,old,2,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL450,old,1,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL451,new,2,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL448,new,1,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL449,mid,1,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL454,new,3,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL455,mid,3,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
corter,Corymbia terminalis,Angophora_Corymbia,QL456,old,3,QLD_Lawn_Hill,150826,corter_50,-18.71986,138.52217
cortes,Corymbia tessellaris,Angophora_Corymbia,QL146,mid,3,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL147,old,3,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL141,old,1,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL142,new,2,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL144,old,2,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL145,new,3,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL143,mid,2,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL139,new,1,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
cortes,Corymbia tessellaris,Angophora_Corymbia,QL140,mid,1,QLD_Cardwell_N,150810,cortes_51,-18.37945,146.07626
eucamy,Eucalyptus amygdalina,Eucalyptus,T319,new,1,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T323,new,2,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T320,mid,1,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T321,old,1,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T327,new,3,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T328,mid,3,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T329,old,3,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T324,mid,2,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucamy,Eucalyptus amygdalina,Eucalyptus,T325,old,2,TAS_Freycinet,150311,eucamy_53,-42.12299,148.34204
eucatr,Eucalyptus atrata,Symphyomyrtus,QL237,old,1,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL242,mid,3,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL236,mid,1,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL241,new,3,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL240,old,2,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL235,new,1,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL239,mid,2,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL243,old,3,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
eucatr,Eucalyptus atrata,Symphyomyrtus,QL238,new,2,QLD_Blencoe_Falls,150816,eucatr_54,-18.23223,145.53238
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH125,old,3,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH124,mid,3,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH120,new,2,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH119,old,1,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH118,mid,1,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH117,new,1,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH123,new,3,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH121,mid,2,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccam,Eucalyptus camaldulensis,Symphyomyrtus,RH122,old,2,NSW_Mutawintji,150410,euccam_55,-31.29462,142.25054
euccoc,Eucalyptus coccifera,Eucalyptus,T021,new,3,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T022,mid,3,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T023,old,3,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T017,new,2,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T018,mid,2,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T019,old,2,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T013,new,1,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T014,mid,1,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccoc,Eucalyptus coccifera,Eucalyptus,T015,old,1,TAS_Mt_Wellington,150302,euccoc_56,-42.89145,147.22834
euccre,Eucalyptus crebra,Symphyomyrtus,YG054,old,2,NSW_Yengo_N,140420,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG086,old,3,NSW_Yengo_N,140525,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG085,mid,3,NSW_Yengo_N,140525,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG021,mid,1,NSW_Yengo_N,140419,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG022,old,1,NSW_Yengo_N,140419,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG084,new,3,NSW_Yengo_N,140525,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG020,new,1,NSW_Yengo_N,140419,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG055,mid,2,NSW_Yengo_N,140420,euccre_57,-32.78244,150.92318
euccre,Eucalyptus crebra,Symphyomyrtus,YG056,new,2,NSW_Yengo_N,140420,euccre_57,-32.78244,150.92318
eucdel,Eucalyptus delegatensis,Eucalyptus,T051,old,1,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T057,new,3,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T050,mid,1,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T058,mid,3,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T059,old,3,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T049,new,1,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T053,new,2,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T054,mid,2,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdel,Eucalyptus delegatensis,Eucalyptus,T055,old,2,TAS_The_Springs,150302,eucdel_58,-42.91482,147.24619
eucdis,Eucalyptus distans,Symphyomyrtus,QL333,old,1,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL332,mid,1,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL331,new,1,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL325,new,3,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL327,old,3,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL328,new,2,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL329,mid,2,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL326,mid,3,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdis,Eucalyptus distans,Symphyomyrtus,QL330,old,2,QLD_Croydon,150822,eucdis_59,-18.15871,142.21484
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH001,new,1,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH002,mid,1,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH006,mid,2,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH003,old,1,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH005,new,2,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH011,old,3,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH007,old,2,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH009,new,3,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucdum,Eucalyptus dumosa,Symphyomyrtus,RH010,mid,3,NSW_Round_Hill,150405,eucdum_60,-32.96407,146.16016
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL148,new,1,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL154,new,3,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL151,new,2,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL150,old,1,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL155,mid,3,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL149,mid,1,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL153,old,2,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL152,mid,2,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucfib,Eucalyptus fibrosa,Symphyomyrtus,QL156,old,3,QLD_Cardwell_N,150810,eucfib_61,-18.37945,146.07626
eucgil,Eucalyptus gillii,Symphyomyrtus,RH099,new,2,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH098,old,1,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH100,mid,2,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH102,new,3,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH097,mid,1,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH103,mid,3,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH101,old,2,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH096,new,1,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucgil,Eucalyptus gillii,Symphyomyrtus,RH104,old,3,NSW_Fowlers_Gap,150409,eucgil_62,-31.0831,141.71401
eucglo,Eucalyptus globulus,Symphyomyrtus,T339,new,3,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T340,mid,3,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T341,old,3,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T331,new,1,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T332,mid,1,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T333,old,1,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T335,new,2,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T336,mid,2,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
eucglo,Eucalyptus globulus,Symphyomyrtus,T337,old,2,TAS_Freycinet,150311,eucglo_63,-42.12299,148.34204
euchae,Eucalyptus haemastoma,Eucalyptus,KG022,old,1,NSW_Kuringai_top,140603,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG083,new,3,NSW_Kuringai_top,140611,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG023,mid,1,NSW_Kuringai_top,140603,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG024,new,1,NSW_Kuringai_top,140603,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG082,mid,3,NSW_Kuringai_top,140611,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG049,old,2,NSW_Kuringai_top,140604,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG050,mid,2,NSW_Kuringai_top,140604,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG051,new,2,NSW_Kuringai_top,140604,euchae_64,-33.6933,151.14541
euchae,Eucalyptus haemastoma,Eucalyptus,KG081,old,3,NSW_Kuringai_top,140611,euchae_64,-33.6933,151.14541
eucmed,Eucalyptus mediocris,Eucalyptus,QL305,mid,1,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL306,old,1,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL310,new,3,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL312,old,3,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL308,mid,2,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL309,old,2,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL304,new,1,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL307,new,2,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucmed,Eucalyptus mediocris,Eucalyptus,QL311,mid,3,QLD_Princess_Hill,150819,eucmed_65,-18.29734,145.48915
eucnit,Eucalyptus nitida,Eucalyptus,T159,old,1,TAS_Red_Knoll,150307,eucnit_67,-43.03746,146.27668
eucnit,Eucalyptus nitida,Eucalyptus,T151,old,2,TAS_Frodshams_Pass,150306,eucnit_66,-42.77492,146.39731
eucnit,Eucalyptus nitida,Eucalyptus,T161,new,2,TAS_Red_Knoll,150307,eucnit_67,-43.03746,146.27668
eucnit,Eucalyptus nitida,Eucalyptus,T150,mid,2,TAS_Frodshams_Pass,150306,eucnit_66,-42.77492,146.39731
eucnit,Eucalyptus nitida,Eucalyptus,T145,new,1,TAS_Frodshams_Pass,150306,eucnit_66,-42.77492,146.39731
