sample,Latitude,Longitude,leaf_age,biological_rep,irradiance,gap,LMA_g_per_m2,LWC_percent,species,site_revised,tavg,dnrg,isot,tsea,tmax,tmin,trng,twet,tdry,twrm,tcld,prec,pwmt,pdmt,psea,pwet,pdry,pwrm,pcld,soilN,soilP,soilC,alpha,tavg_recent_year,tmax_recent_year,prec_recent_year,VPD_recent_year,tavg_recent_month,tmax_recent_month,prec_recent_month,VPD_recent_month,leaf_rad,species_confirmed.x,gap_mean,gap_SE,leafrad_mean,leafrad_SE,LMA_mean,LMA_SE,ID
KG078,-33.69,151.15,mid,2,16.69332314,58.91225,266.319416,51.47066081,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,9.83441226154465,corgum,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466,corgum_46
KG079,-33.69,151.15,new,2,16.69332314,66.38,272.0656656,51.02663773,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,11.081027900332,corgum,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466,corgum_46
KG081,-33.69,151.15,old,3,16.69332314,68.7115,352.8785326,48.38692223,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,11.4702327293411,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG082,-33.69,151.15,mid,3,16.69332314,78.68575,338.8457262,47.71232877,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,13.1352665126325,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG083,-33.69,151.15,new,3,16.69332314,88.66,324.0813252,48.39296304,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,14.800300295924,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG101,-33.68,151.15,old,1,16.70306015,39.7265,275.9520807,39.36096479,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,20.03353091,25.01144329,408.4000014,-7.331311688,15.77933327,21.27399991,44.40000125,-4.945166169,6.63554119048975,angcos,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034,angcos_33
KG102,-33.68,151.15,mid,1,16.70306015,45.49325,244.0806276,38.88363292,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,20.03353091,25.01144329,408.4000014,-7.331311688,15.77933327,21.27399991,44.40000125,-4.945166169,7.59876491168987,angcos,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034,angcos_33
KG103,-33.68,151.15,new,1,16.70306015,51.26,248.8120099,44.57314029,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,20.03353091,25.01144329,408.4000014,-7.331311688,15.77933327,21.27399991,44.40000125,-4.945166169,8.56198863289,angcos,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034,angcos_33
KG105,-33.68,151.14,old,1,16.69971657,35.20825,296.5921164,48.25619085,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,19.83337498,24.82019999,415.9000016,-7.242873419,15.18449997,20.33166663,50.70000141,-4.688210493,5.87967795925702,eucobl,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615,eucobl_68
KG106,-33.68,151.14,mid,1,16.69971657,40.319125,313.8003531,51.98909339,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,19.83337498,24.82019999,415.9000016,-7.242873419,15.18449997,20.33166663,50.70000141,-4.688210493,6.73317959850401,eucobl,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615,eucobl_68
KG107,-33.68,151.14,new,1,16.69971657,45.43,320.3601865,51.257587,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,19.83337498,24.82019999,415.9000016,-7.242873419,15.18449997,20.33166663,50.70000141,-4.688210493,7.586681237751,eucobl,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615,eucobl_68
KG117,-33.68,151.14,old,2,16.69971657,42.067,348.5031578,45.32139749,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,19.83337498,24.82019999,415.9000016,-7.242873419,15.18449997,20.33166663,50.70000141,-4.688210493,7.0250697695019,eucobl,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615,eucobl_68
