n,total_protein,photorespiration,calvin_cycle,Rubisco,Photosystems,ATP_synthase_chloroplastic,protein,stress,other
200,0.801776125619166,0.0485638786788198,0.160839451269202,0.210053524879964,0.22748366947084,0.0630244522589981,0.032420936630041,0.0259898196599718,0.231624267152164
500,0.894513323777764,0.0435290984014645,0.145212458208155,0.189230033379424,0.20610659342631,0.0564904957905846,0.0452246946363882,0.0282316650020013,0.285974961155672
1000,0.953977285310827,0.0409874738617272,0.136920724278977,0.177434818127408,0.193942848279591,0.0531043621402415,0.0582129131957339,0.0289966379815115,0.310400222134809
2000,0.99482211015654,0.0395072286469535,0.131363869662792,0.170149803053905,0.186403873384008,0.0509240342725586,0.0652295141977163,0.0295005721620714,0.326921104619996
1,0.0849392858196409,0,0,1,0,0,0,0,0
5,0.202956934778449,0,0.235540054626383,0.634831746853797,0,0.12962819851982,0,0,2.22044604925031e-16
10,0.305532725005657,0,0.210361978936938,0.565422006753279,0,0.154883171229314,0,0,0.0693328430804687
25,0.476669197653652,0.0387756911017258,0.226703374122448,0.362420998360839,0.208490357968913,0.099276138664186,0,0,0.0643334397818888
50,0.602767187047297,0.0503030721366485,0.213966667327531,0.286603070329276,0.227530491780758,0.0850883271937874,0.0126241849223742,0.0122330519006449,0.11165113440898
75,0.673940296241709,0.0490408232056225,0.195199946628746,0.256335653862635,0.224951604445117,0.0803266014271883,0.0112909770744667,0.0195012949443826,0.163353098411841
100,0.72018102909307,0.0513709008014231,0.188233295675304,0.242350946677714,0.213163644379506,0.0751690635757263,0.0238952638426416,0.0204755640233937,0.185341321024291
200,0.82039112088492,0.0492460746077265,0.169975315160518,0.213679157313175,0.195540776940124,0.0695513557376078,0.0325930734549173,0.0256401385080398,0.243774108277891
500,0.915041588733287,0.04470770247971,0.153447486183475,0.191825609486567,0.17769649229478,0.0627771849457582,0.0463109603239489,0.0270697775796705,0.29616478670609
1000,0.967970519745349,0.0423584901478221,0.145399458796326,0.181336525114935,0.16875111835138,0.0594777187110989,0.0589696189008586,0.0276092467834271,0.316097823194152
2000,0.997272999732487,0.0411847632416036,0.141256289682736,0.176008385378331,0.163960117218003,0.0577301083148683,0.0644639729861196,0.0281798755172483,0.327216487661091
1,0.11858570690267,0,0,1,0,0,0,0,0
5,0.287470337470939,0,0.119929373095713,0.788875564153621,0,0.0911950627506655,0,0,1.11022302462516e-16
10,0.38432292612053,0,0.181733375986224,0.590072330420115,0.0966576347885707,0.131536658805091,0,0,-6.66133814775094e-16
25,0.56258052217355,0.0199632027590879,0.230135974997532,0.403103761526711,0.232467225335063,0.089858343137759,0,0,0.0244714922438476
50,0.68931103359995,0.0402906303527396,0.209236726864697,0.328992738539903,0.278453974452286,0.0785436043719017,0.00530233903249587,0,0.0591799863859761
75,0.752147421436603,0.0486052150367357,0.195561115901772,0.301507813743045,0.266478780738698,0.0719818636203682,0.0083401075450447,0.012164805117237,0.0953602982970995
100,0.793151293066139,0.0479849160399063,0.187750846066625,0.285920639142057,0.254797033611715,0.0702245400284142,0.0136617130895229,0.0155436559882937,0.124116656033466
200,0.873008488631847,0.045649061323598,0.175957080713954,0.262500047529923,0.235380193210555,0.0663859169684654,0.0236496246197103,0.0170716283703257,0.173406447263468
500,0.943434067723706,0.0425653922086941,0.163247577421829,0.242904912595333,0.219582106214548,0.0617059752837469,0.031720765758861,0.0190517033019626,0.219221567215025
1000,0.978577821297612,0.0411709609090035,0.15755376810778,0.23418144655681,0.21247021280669,0.0595501105520772,0.0390169665194123,0.0198956273465392,0.236160907201687
2000,0.998283974183105,0.0404352174618416,0.154542085791698,0.229581868690817,0.208361125107132,0.0583745897451369,0.0433320147531696,0.0203781354228073,0.244994963027398
1,0.131092951818618,0,0,1,0,0,0,0,0
5,0.320203821620129,0,0.113529333586093,0.799311208828459,0,0.0871594575854494,0,0,-6.66133814775094e-16
10,0.415593150954267,0,0.172252074149834,0.615848704780129,0.0865327875650932,0.125366433504948,0,0,-3.5527136788005e-15
25,0.582736367859428,0.0181731710689162,0.223663317572967,0.439208049895417,0.206211396588577,0.0894082367222157,0,0,0.0233358281519074
50,0.708084512607638,0.0351857268018203,0.203620293596941,0.361457564984902,0.257019314699565,0.073580808782765,0,0,0.069136291134007
75,0.767881635010074,0.0415327383329068,0.191480570392388,0.333309838471811,0.250090466306122,0.0721624311493282,0.00614855222068821,0.00520783385516594,0.10006756927159
100,0.806550407573112,0.0436703454309713,0.186194025773105,0.319040462694408,0.240135278214945,0.0707296317377918,0.0112914863401355,0.0110187389612507,0.117920030847392
200,0.881729446701628,0.0419909307135223,0.174675766726871,0.293102436329632,0.22410581967667,0.0672093065294776,0.0197965969754089,0.0142028149996289,0.16491632804879
500,0.945580864897612,0.0394638915871409,0.163239300053169,0.273441158057953,0.209948359229188,0.0628244509079692,0.0275828777818755,0.015996254738765,0.207503707643939
1000,0.978759462314785,0.0381992830638479,0.158040307076341,0.264171879496871,0.203506993699149,0.0606947885701965,0.0349061210470849,0.0168712268413356,0.223609400205174
2000,0.998171531934009,0.0375725135377145,0.155017122163891,0.259034362795409,0.199683448216572,0.0595390959329258,0.0392206197787269,0.0173900502256622,0.232542787349098
1,0.0876616901928186,0,0,1,0,0,0,0,0
5,0.220953857501655,0,0.122943163218354,0.606725401941853,0,0.270331434839791,0,0,1.11022302462516e-15
10,0.314221580782292,0,0.150369775740105,0.499129178815418,0.160409794604536,0.190091250839941,0,0,5.55111512312578e-16
25,0.473758218372103,0.0255037012127844,0.228048944553661,0.331048947543035,0.249797480021645,0.126078600888555,0,0,0.0395223257803198
50,0.606594585682963,0.0394826548198044,0.200007556920528,0.258553510505481,0.299186091676523,0.0984690182563344,0.00806190479168962,0,0.0962392630296396
