species_confirmed,Latitude,Longitude,sample,leaf_age,biological_rep,site_revised,date,ID
acacel,-17.37,145.74,QL054,new,3,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL050,new,2,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL055,mid,3,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL048,old,1,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL056,old,3,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL047,mid,1,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL046,new,1,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL051,mid,2,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL049,sen,1,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL057,sen,3,QLD_Bartlefrere,150806,acacel_4
acacel,-17.37,145.74,QL053,sen,2,QLD_Bartlefrere,150806,acacel_4
acacol,-18.16,142.21,QL390,old,1,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL389,mid,1,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL388,new,1,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL395,mid,3,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL392,mid,2,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL396,old,3,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL394,new,3,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL393,old,2,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL391,new,2,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL382,sen,1,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL384,sen,3,QLD_Croydon,150823,acacol_5
acacol,-18.16,142.21,QL383,sen,2,QLD_Croydon,150823,acacol_5
acacra,-17.92,146.07,QL192,mid,2,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL196,mid,3,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL188,mid,1,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL189,old,1,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL195,new,3,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL197,old,3,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL187,new,1,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL191,new,2,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL193,old,2,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL194,sen,2,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL198,sen,3,QLD_Mission_Beach,150812,acacra_6
acacra,-17.92,146.07,QL190,sen,1,QLD_Mission_Beach,150812,acacra_6
acadea,-42.39,147.05,T254,mid,1,TAS_Bothwell,150309,acadea_8
acadea,-42.39,147.05,T257,mid,2,TAS_Bothwell,150309,acadea_8
acadea,-42.39,147.05,T258,old,2,TAS_Bothwell,150309,acadea_8
acadea,-42.39,147.05,T253,new,1,TAS_Bothwell,150309,acadea_8
acadea,-42.39,147.05,T256,new,2,TAS_Bothwell,150309,acadea_8
