sample,LMA_g_per_m2,LWC_percent
RH070,263.6785792,38.72516556
QL364,434.593046,38.74682081
T220,,38.83083875
KG102,244.0806276,38.88363292
RH071,274.5553258,38.90426469
RH069,286.3715754,38.90748755
T245,265.7675916,38.94117647
RH104,418.6775741,38.94823336
KG062,354.6744389,38.96205077
QL360,390.3512679,38.96500372
QL386,,38.98886617
YG028,,39.0212766
RH074,258.3798718,39.05642534
RH068,242.4760769,39.10405973
RH030,554.6210945,39.13892414
T077,,39.22756022
T260,106.9047508,39.23590055
KG101,275.9520807,39.36096479
RH027,549.564116,39.36157728
QL355,222.8404358,39.36415973
QL376,190.1896487,39.43661972
QL221,,39.44223108
QL437,,39.45178909
YG178,,39.52859351
QL417,,39.53144324
YG123,236.430806,39.55944602
QL370,185.568969,39.6208969
T223,341.3597029,39.72981271
RH073,274.4178678,39.79976243
T259,109.9386785,39.81262909
T337,418.40933,39.81991668
T228,,39.84115523
T326,292.8535423,39.86743867
KG133,161.8252605,39.8833611
T257,109.5991975,39.90197565
QL288,292.9934498,39.99094317
RH125,311.8846693,40.01857794
QL385,,40.02588811
QL346,243.3046197,40.02968011
QL371,190.3457958,40.08069939
T256,126.3096019,40.10196229
KG074,370.2506294,40.10614881
RH081,1032.771335,40.20871007
T243,307.6473933,40.21164021
RH078,949.5901739,40.27679706
T333,421.4935712,40.30112616
YG125,269.8718448,40.31192304
RH026,626.4588859,40.33724896
QL348,245.0581616,40.35002431
T218,341.0719174,40.36604211
QL178,324.0420264,40.37647147
QL440,1144.975003,40.43027125
QL168,305.4045034,40.44275465
QL441,,40.51341368
YG083,,40.55137845
T253,106.2288866,40.56307837
RH022,664.3565957,40.57864109
RH103,441.4228439,40.58167505
RH116,396.9979761,40.58447489
QL354,240.8178929,40.6726416
QL372,179.8353182,40.68020037
QL374,182.3935521,40.77090119
RH056,434.7725125,40.78794192
RH059,390.1309228,41.05773744
QL403,341.4628565,41.12109062
KG021,,41.14553839
T168,,41.15624849
YG019,203.1458969,41.20875421
RH024,677.3862951,41.23055572
YG080,268.408328,41.28350536
T251,296.2475003,41.29130767
QL375,180.6038666,41.31306382
T217,343.4870982,41.35586128
RH023,655.0061607,41.38665693
QL237,257.6108179,41.39337748
QL436,1181.50538,41.50197104
KG135,243.8961539,41.52440006
T247,283.5900107,41.53204237
RH025,592.6005242,41.55498721
YG124,239.6859178,41.67083959
T254,106.9137372,41.72661871
YG149,258.0198635,41.73733629
YG174,276.0283166,41.80392157
QL185,212.6736016,41.80475438
RH122,331.0905415,41.82560653
YG192,252.6359836,41.91802011
T330,269.7375902,41.92355117
KG096,,41.93205945
QL435,1064.982224,41.96608978
YG164,,41.98000435
QL404,344.3945076,41.98044347
T221,342.463507,42.01079089
QL408,328.8348457,42.01353747
QL169,,42.017313
RH029,612.3572408,42.02663202
T375,,42.10414129
QL170,192.0839805,42.125579
T250,274.045959,42.14733735
QL356,226.5853737,42.15907382
QL184,235.7227111,42.17774448
T046,397.3016957,42.2353077
RH057,376.7374434,42.24931003
KG144,,42.25779007
QL418,263.7843606,42.2613531
T246,290.8660029,42.31060606
T295,282.2745311,42.32476515
QL347,249.964103,42.34865311
RH028,570.6874803,42.35570834
T341,400.7073248,42.36241915
QL173,201.0475601,42.39858212
YG166,,42.4019025
YG169,322.7679172,42.40923912
QL460,344.4762437,42.41877256
QL445,,42.42341357
KG121,252.863152,42.43897663
RH107,395.9978373,42.44485673
T332,394.3907861,42.44557262
YG191,304.5300194,42.51038705
QL326,229.1627099,42.52262106
QL323,,42.53521127
QL303,,42.55342586
T255,121.2072329,42.55813953
QL267,,42.57959861
QL465,371.5095139,42.58077689
YG165,,42.60398207
YG188,391.9716993,42.65202703
QL104,253.4057112,42.65509761
QL041,,42.68347727
YG187,378.1859943,42.69213512
KG134,324.4130426,42.71703115
YG179,,42.76198934
T281,,42.79121976
T222,304.8712904,42.84587531
QL328,230.8921829,42.85149186
QL405,322.1035296,42.86790666
QL397,304.8490788,42.90183345
T275,285.5755768,42.91406968
QL182,279.1543582,42.96994914
QL398,349.3806441,43.00895183
T078,284.4551859,43.01159053
YG005,,43.01639344
T249,237.0732831,43.02504547
QL175,193.901083,43.03276312
YG122,,43.10100556
YG208,282.7832629,43.13225715
T048,,43.19640565
YG014,,43.22580645
YG170,340.5534287,43.22689224
RH063,333.9173,43.24883114
QL218,,43.26802835
QL399,320.8472329,43.28390725
YG189,,43.30680174
RH101,373.6992787,43.37116327
QL093,177.1249055,43.41463415
YG202,280.0009154,43.45190546
T047,443.9327319,43.47144093
T288,246.7020535,43.47303791
T219,305.7240997,43.49164468
QL439,831.7725489,43.52300931
T315,1064.933904,43.52465264
T072,277.6036453,43.59464627
T206,231.2560699,43.61878453
QL177,329.3346458,43.63297951
T242,328.3377449,43.63336426
QL176,335.6218138,43.6744793
T339,363.8125238,43.72803964
YG012,,43.83529412
KG122,226.2476911,43.87620064
RH121,283.854536,43.89617639
T239,273.6185558,43.91459792
RH115,357.8338462,43.91588603
T156,,43.9438659
QL083,223.1336796,43.95064019
T134,251.3044441,43.95199919
T080,281.4110914,43.96743722
T076,282.8618949,43.97283531
QL068,196.3601123,43.97440455
T261,104.3725286,43.98734177
QL180,290.5193939,43.99613134
T205,199.7114477,43.99840489
QL420,223.3807608,44.00951162
YG075,249.6818825,44.01974775
YG030,,44.04081633
T379,,44.05247297
QL425,,44.05428695
T104,310.3996942,44.05626657
QL438,1136.544354,44.0626188
T043,432.7457554,44.09346847
YG044,261.7158729,44.09692671
QL167,314.3991799,44.10584372
QL313,212.0194132,44.1232453
T079,322.8602734,44.14934354
QL103,249.1328728,44.15957373
T317,820.4755734,44.16119805
T131,330.2719763,44.16332228
T071,295.0539101,44.17134831
T404,,44.17975095
QL204,217.4267426,44.18435592
QL060,201.331394,44.19404375
T167,333.7084325,44.20808354
QL434,958.571318,44.30239966
KG093,281.8541367,44.31515957
KG036,258.7792695,44.31919092
YG203,303.4157747,44.32469089
QL327,214.1425402,44.36321662
QL100,258.220534,44.3855042
QL306,253.7290839,44.385712
T070,265.9158467,44.42312305
T105,302.0286499,44.42634633
RH100,345.0213452,44.42789035
YG133,,44.45151438
YG022,332.3554162,44.47695035
QL419,218.107783,44.48701575
QL150,176.6280324,44.4924258
YG204,314.3403003,44.51939292
YG173,269.5726431,44.55505279
T335,374.5746235,44.56578331
T356,143.0079194,44.5696577
KG103,248.8120099,44.57314029
QL172,159.7179667,44.61674385
QL199,210.0000562,44.62076385
T230,260.0270353,44.62285288
T235,262.1339363,44.63606967
QL171,149.47083,44.65442105
QL462,354.5201519,44.66220209
YG195,,44.67825143
T258,73.40899619,44.6991404
YG132,,44.71091281
QL317,188.7910485,44.71536574
QL181,299.9528303,44.7524607
QL423,209.9286047,44.76190476
YG015,,44.7804878
QL461,344.9842011,44.81697939
QL311,273.1505924,44.84685126
QL426,253.760308,44.88278655
T361,168.3417588,44.91578291
T357,154.6584658,44.91797536
KG076,,44.91803279
QL316,194.175993,44.92541904
RH110,303.252748,44.93087558
QL153,205.5397753,44.95600873
T229,227.166731,44.96695866
T109,329.4103068,44.96719664
QL174,220.2592347,44.97410797
T144,315.543923,44.99417605
KG141,273.3784334,44.99580102
T303,245.3321847,44.99749248
QL287,288.0186488,45.05551006
KG124,,45.07011866
QL305,265.1575702,45.07676749
T039,399.7846571,45.08175448
QL384,,45.09676955
T103,421.2664011,45.10887772
T159,398.5526557,45.11896431
QL283,231.6939443,45.12318029
QL380,206.3133993,45.13006655
YG086,163.773812,45.15798463
QL318,194.2439775,45.16096529
QL320,193.1997941,45.17990224
QL179,,45.2007402
T336,381.4117053,45.23504957
YG190,269.2871718,45.25242718
KG019,,45.25316456
YG127,266.713552,45.26441451
QL284,221.9321164,45.27605716
QL319,233.4972842,45.28028933
QL308,265.5428049,45.31105426
T132,293.2518808,45.32056349
KG117,348.5031578,45.32139749
T113,321.878691,45.36737074
QL428,232.6785287,45.39549988
QL448,297.844319,45.43612316
QL315,182.4183465,45.46111878
QL064,216.4543373,45.50811005
QL411,289.9832564,45.51142783
QL314,186.2046842,45.52994399
QL282,240.3849532,45.54246028
QL325,194.5158576,45.54390564
T316,1016.032449,45.54943332
T359,146.7174744,45.57539949
T075,259.4793769,45.61945714
T331,314.3718787,45.62211982
T302,125.9590702,45.62990134
YG181,,45.64525192
QL091,232.061487,45.68364977
QL422,205.579323,45.70484581
T237,240.9181064,45.70734148
T042,400.6371341,45.71677845
RH003,329.2452234,45.76714882
QL458,398.5955744,45.78211617
T370,233.1552861,45.79183267
YG172,272.8038517,45.7975721
QL330,245.6258093,45.80635931
QL427,244.2677805,45.83816486
T360,125.2203269,45.84624923
QL087,224.5381324,45.8529689
T322,223.7213366,45.89422408
YG197,,45.91786244
QL446,,45.91803932
T155,348.1642202,45.9187918
YG207,263.3402168,45.96427958
QL066,208.9981364,45.96731232
KG077,269.3508576,45.97066313
QL200,204.3164209,45.98862919
YG115,223.297295,46.01185436
QL451,312.184868,46.02611004
YG072,156.7282849,46.04058558
T112,302.1782277,46.0828955
QL110,193.3559503,46.09153869
T276,202.5078189,46.09245095
T347,118.8771806,46.11414693
YG135,344.4718214,46.11503967
YG180,,46.17182934
QL415,275.6321193,46.21849524
T358,171.8705247,46.22037367
T208,,46.22961957
QL259,,46.2371678
YG057,,46.23834197
QL321,188.5157213,46.25102177
QL285,252.2044945,46.25542764
KG049,330.0286578,46.28538417
YG118,270.8598356,46.32283315
T234,263.7907598,46.32646788
YG058,,46.35974304
QL329,204.1161929,46.36411059
QL058,218.7212078,46.38819876
T233,236.2093739,46.40159414
T225,324.0518301,46.40365423
QL447,,46.40387132
T395,220.3332743,46.41730793
T348,125.6024273,46.41987336
RH119,339.9697327,46.43971092
YG186,331.8780321,46.45340383
T108,302.3700395,46.49167603
KG094,243.0912191,46.49373603
QL059,203.8066765,46.52160588
T227,283.1106868,46.57486826
T161,306.8094714,46.59182848
T340,330.4732028,46.59588193
QL412,307.9136189,46.69288151
T087,240.1488974,46.73328209
YG021,287.7298909,46.73777254
YG196,,46.74228103
QL082,211.5758841,46.76201828
T378,255.9756735,46.76350048
T129,277.7769302,46.7753094
T311,854.9138949,46.78776683
T287,216.5863335,46.79245283
T278,336.9157133,46.82868998
KG037,255.1901209,46.83321605
T143,309.5814595,46.8907563
YG143,196.6414234,46.91264681
T073,,46.92183928
YG045,215.7666316,46.92887029
T152,,46.94125509
T284,240.4681061,46.97700297
QL286,247.2318228,47.0026455
QL062,179.597113,47.00944285
YG031,,47.01492537
T147,327.7549369,47.01986755
T381,249.1479957,47.03481902
QL063,184.9833924,47.03719573
QL067,201.0104686,47.05490042
T074,226.7365158,47.08939709
YG074,,47.12165942
T081,,47.13125159
T117,455.5370166,47.13501192
YG136,317.9596355,47.13613111
QL096,235.211124,47.14737751
T312,923.8621241,47.16385929
KG143,257.8135711,47.17783375
YG206,270.5564945,47.2124651
QL205,206.2957271,47.2535602
QL331,232.9885573,47.25872378
YG062,,47.26224784
QL378,188.8744994,47.29612806
T126,,47.32169281
QL459,337.6992931,47.32417371
YG070,265.9766967,47.34557182
T345,112.3313275,47.34898444
QL414,281.8699674,47.3523677
T119,406.2699793,47.39341727
YG160,190.1825392,47.39769387
QL456,242.8067856,47.4175333
T158,435.2736434,47.42788582
T157,393.4439215,47.43499064
QL383,,47.44071638
T118,,47.45318013
T226,281.9545895,47.46526236
QL107,169.7187016,47.46643346
KG098,,47.46730083
T325,309.0224167,47.4801061
T150,388.8427825,47.50987047
T308,1198.090745,47.51221498
QL332,213.9485,47.51796573
YG077,209.3626479,47.54108969
QL201,190.5734952,47.56296431
T309,1251.070545,47.59425238
T213,185.4664451,47.5988287
YG167,304.3949887,47.654619
T135,296.601325,47.65858971
T106,,47.66474146
T031,484.8544231,47.6718886
KG142,262.9244617,47.67308311
KG082,338.8457262,47.71232877
QL416,271.2056562,47.73939675
YG003,,47.7826087
T172,,47.81471797
T128,278.1853607,47.84416252
YG168,316.9313969,47.84946956
KG003,,47.8581654
KG095,232.4073339,47.86665058
QL166,263.4534626,47.86919656
QL304,282.6268233,47.90752271
RH124,332.9635927,47.90789104
QL148,148.6615939,47.9438293
T115,410.5143591,47.94437727
KG039,,47.94702721
YG023,,47.95884774
RH020,391.6408356,47.96836651
T036,,47.98846973
T323,251.8078916,47.99041789
QL044,176.2954528,48.0089953
T207,215.2080928,48.02195289
T382,232.6668914,48.04311143
QL202,204.4059086,48.0490524
YG069,,48.06787789
QL159,170.9680717,48.06826305
T069,143.2396928,48.0896436
RH011,320.6785877,48.09900769
T084,201.5551809,48.11199589
T407,263.3031857,48.11452514
T120,408.5300541,48.16922316
T110,,48.18150528
T086,221.3649568,48.18181818
YG171,,48.18241904
T377,264.2932644,48.18245065
QL165,174.7066845,48.18822429
T274,242.3876911,48.20609095
QL230,233.1890402,48.22756395
KG112,,48.22916667
QL333,205.4870586,48.23164426
T116,400.0363738,48.2371435
QL206,211.2751759,48.24180595
YG205,,48.25174825
KG105,296.5921164,48.25619085
RH021,406.7829446,48.26259696
QL281,253.1177053,48.28519649
T280,334.7210564,48.28521604
KG127,,48.28824515
T083,208.8571332,48.29185997
KG126,,48.29721362
QL309,229.2953899,48.31906009
QL307,269.6032518,48.32249011
QL406,287.3465489,48.33315319
T165,314.5400721,48.34380839
QL029,,48.35053462
QL241,233.2020843,48.37099605
KG081,352.8785326,48.38692223
RH010,313.0333386,48.39007045
KG083,324.0813252,48.39296304
T296,205.4766466,48.40344056
KG029,,48.41808726
T030,446.8970021,48.43986384
T151,319.6704485,48.46544976
T391,216.524474,48.46867225
QL090,233.5931674,48.47856909
T154,339.463769,48.50112328
QL069,,48.50348664
T148,,48.51809484
T238,204.7836621,48.52852853
QL453,268.3866345,48.56110582
QL099,210.499627,48.57416344
QL092,199.885738,48.57789727
QL203,194.4637465,48.58884624
YG119,,48.60825557
QL407,281.5423212,48.61810018
T350,133.8465019,48.64188706
T166,349.5717366,48.64197531
KG050,351.0122887,48.68812898
RH019,367.0981723,48.69255151
QL452,289.3662404,48.69287224
QL310,240.9454373,48.70339513
QL235,227.8392002,48.7042589
QL312,229.6331674,48.71006322
T018,352.3795055,48.73784945
QL157,172.3800142,48.74260735
KG004,,48.75078732
QL124,170.5698683,48.78609612
QL084,185.8186304,48.81405327
T107,284.9757402,48.8206834
YG071,243.5555028,48.8259316
T121,387.9587881,48.87478933
T282,251.7035958,48.92150103
T111,255.5456836,48.93189964
QL081,,48.94980312
T176,,48.96294983
QL133,228.605171,48.9647561
T231,292.2297235,49.02053238
YG092,165.3769716,49.07382955
T182,461.1972015,49.07391957
QL379,174.060246,49.07738095
QL156,166.2648685,49.09181141
KG099,,49.10414334
T283,215.5368819,49.1371376
QL457,303.9195116,49.15282955
QL231,223.8961326,49.17609538
T351,109.9233715,49.20131548
T162,322.0666859,49.20654149
T124,402.6827597,49.23959828
T324,249.8042052,49.24515438
T122,,49.25920109
T344,128.104779,49.26688938
QL455,222.1632522,49.27132554
T055,267.9829916,49.33181736
KG123,210.6623968,49.36969638
QL294,262.2703851,49.37565224
T210,170.7160395,49.39691445
YG145,212.9539072,49.41010386
KG023,339.416026,49.41857824
T163,314.3193541,49.43194992
T019,370.3255869,49.434041
T015,332.8282569,49.44092918
YG097,216.9951712,49.4469526
KG110,209.7031297,49.44976821
T403,297.0407348,49.45717198
T035,410.9454015,49.4673913
T185,383.2334062,49.48077463
QL095,204.8540527,49.5
QL127,149.887201,49.51702716
KG067,,49.53249715
T291,232.2353487,49.543379
YG161,175.8237433,49.54427083
KG111,216.9903598,49.54900116
QL410,292.5955948,49.58798638
KG114,,49.58868524
KG130,229.2511405,49.60143369
KG115,,49.6129326
QL135,182.406774,49.61691381
QL164,162.7651895,49.62264151
QL113,179.7813441,49.6244032
T390,224.6775785,49.62873643
QL111,160.6071148,49.63225316
T279,247.2842429,49.6440536
T209,184.5132895,49.64858026
YG011,,49.69230769
QL243,242.0258987,49.7115264
KG024,330.7773543,49.71425416
KG113,,49.75794845
KG006,,49.79310345
T367,238.631225,49.79445015
T183,483.0785568,49.84759195
T386,228.2379962,49.84769365
KG089,222.6917837,49.84873601
QL254,284.8663104,49.8512668
KG137,311.1204215,49.88980716
KG022,341.8124596,49.89839556
QL158,173.0646788,49.90374332
T114,,49.92628993
RH007,269.0622606,49.95232798
QL295,245.0126365,49.97319736
T032,,50
T133,236.9541507,50.04046535
T090,205.0585182,50.041841
T125,420.5611059,50.08547844
T004,,50.09420138
T146,325.2470236,50.09470276
T313,730.8521935,50.09774436
QL025,,50.11723088
QL449,231.8055773,50.11750007
QL151,142.7550624,50.13946792
T123,414.9987515,50.17006803
YG104,202.5155974,50.17030402
QL442,,50.18293138
QL236,213.2403983,50.19785189
T028,,50.27669051
T354,129.7716389,50.29145078
KG051,313.005655,50.29513328
QL128,151.4477233,50.32266256
QL454,222.6621207,50.33294578
RH018,370.830142,50.36052353
RH096,367.2240962,50.39313796
T141,290.2381054,50.39979739
QL269,,50.40751641
T301,157.1790418,50.44143852
T092,397.7502847,50.46811001
T140,293.9947961,50.49241201
T320,225.1768265,50.50961624
KG020,,50.52157421
QL122,162.6945985,50.53247598
T211,204.5227276,50.54290718
T003,595.7878083,50.58631922
T192,,50.61190624
T406,262.3510604,50.62022901
T093,393.1558971,50.63795853
T011,632.4422976,50.64899799
T215,222.9258074,50.67367415
RH092,,50.69403426
T214,195.1058563,50.71174377
QL145,129.9476089,50.718364
T298,137.8087911,50.75394714
KG131,201.1036605,50.76809806
QL142,132.1808128,50.82817467
T184,,50.83400956
T318,,50.871903
QL239,205.2447682,50.87558102
T045,338.5561965,50.87608191
YG061,,50.87766676
KG058,,50.87926953
YG109,188.4664485,50.92267135
T089,180.9196361,50.94079853
T063,148.6941831,50.94834785
T034,380.6202321,50.94946894
T014,322.2337148,50.97703609
QL134,191.5877901,51.02065988
KG079,272.0656656,51.02663773
YG060,,51.02770331
T138,221.137207,51.03229527
YG063,,51.05319529
KG038,247.2023881,51.07406973
T314,,51.09466732
T399,302.7107889,51.1053316
T027,432.8362343,51.10850955
T328,252.223333,51.11885547
KG119,305.2526494,51.14515281
QL450,244.5402288,51.15567308
T068,111.3775701,51.15816565
YG099,,51.1627907
T026,414.1353045,51.17939168
QL228,235.7885776,51.24378947
KG107,320.3601865,51.257587
YG101,,51.26957258
T186,339.554389,51.27016503
YG155,,51.27512245
KG059,,51.28445528
YG131,,51.31004367
YG148,,51.36019028
QL207,158.7117288,51.36484687
QL123,134.9394997,51.37646102
QL280,222.3371099,51.37746529
QL138,175.2701999,51.38137772
QL246,271.3163274,51.40208362
QL161,166.3362248,51.40982564
KG088,,51.41803383
T130,279.9566706,51.42381097
T190,355.7214293,51.43168803
KG078,266.319416,51.47066081
KG129,185.1931244,51.47571556
QL121,,51.48669179
RH040,355.0370535,51.49008378
KG030,201.3605697,51.49649393
T374,264.5031519,51.50598692
QL242,233.6102981,51.5354376
KG057,,51.53702841
T299,198.3156501,51.54022271
QL086,208.1340763,51.5954495
YG002,,51.61904762
T353,144.2428656,51.62605228
QL109,156.8516235,51.68446678
T352,174.6340449,51.69955778
QL154,137.3829505,51.70302851
KG033,,51.74793602
T007,541.2289519,51.74819631
RH001,279.1551881,51.75535337
QL238,223.2543503,51.76852893
QL088,207.5883126,51.82607497
KG017,,51.83075671
QL299,220.7760872,51.84423534
T100,297.2610645,51.85647426
RH002,262.4720063,51.86785106
QL098,187.9654135,51.88495758
QL139,135.385559,51.88526798
YG064,,51.89912827
KG138,314.5762242,51.90459395
YG054,266.5782368,51.90502793
QL255,,51.91320353
YG102,,51.92878338
RH055,304.5805189,51.93040032
T398,235.7684824,51.94255354
QL234,193.5239083,51.95755223
T010,548.1652592,51.96171642
KG018,,51.9630485
QL233,189.4404593,51.96850394
QL298,221.252782,51.98654258
KG106,313.8003531,51.98909339
T067,110.7325939,52.01889651
QL444,,52.02782132
QL289,231.9813571,52.04287046
QL292,,52.0775042
KG118,296.2141251,52.07790634
T307,1142.818416,52.07929782
YG004,,52.08695652
T137,214.8132949,52.1043578
QL291,218.7362384,52.11599302
KG007,,52.12246431
QL149,131.8612892,52.1334504
YG082,180.170456,52.16252369
YG047,,52.17449664
QL293,234.8796574,52.22965273
QL152,132.7322183,52.25025175
T364,211.1788604,52.30319279
KG125,,52.33879493
T394,219.6176942,52.34616707
T191,334.8951097,52.36185383
T292,187.1631444,52.37295724
QL244,249.8692532,52.40291262
QL290,216.4017576,52.43968377
T385,219.2091545,52.44377882
QL108,156.3003093,52.44818146
QL240,234.1150603,52.44884703
QL226,224.5654675,52.48554479
QL162,158.1121089,52.48835881
T310,,52.4957102
T029,391.0315306,52.49602544
YG120,210.8929141,52.58737699
QL250,251.5697539,52.60173215
T051,277.1970068,52.62168561
RH017,365.065465,52.6581382
QL146,130.7448592,52.67973451
QL335,,52.68127454
QL094,197.0215338,52.68158942
QL102,184.3726249,52.684297
QL045,,52.71569782
T290,211.7648736,52.71601254
T023,358.8176582,52.7340824
YG096,177.5122558,52.73860939
T009,512.7450199,52.78032514
QL129,,52.81235773
RH102,342.4639805,52.81839936
T066,107.2466979,52.84278483
QL394,264.062016,52.9510452
QL252,246.0042135,52.97200586
KG097,,53.0399274
KG031,239.1499923,53.06990121
T101,323.1593798,53.12336507
RH009,273.9312846,53.16397582
T300,195.6897361,53.17322051
YG046,,53.21698113
QL037,,53.23654198
RH041,341.8511984,53.23764213
QL210,176.7982215,53.23992995
YG040,,53.26470588
QL012,,53.26630655
KG109,204.6297423,53.30614464
T363,241.9788472,53.3225611
RH114,306.1929932,53.33028818
T366,225.2513374,53.35628227
QL388,246.030188,53.37217548
YG034,,53.3980344
T033,351.3014985,53.40550293
T179,320.3416205,53.40633884
QL198,,53.42454771
QL227,200.8498177,53.42811331
YG162,145.3794821,53.46902655
T286,189.9208578,53.4874123
T402,258.3873506,53.48925796
T096,322.1133991,53.49988216
QL193,198.3794303,53.50505875
KG065,,53.50658597
YG055,238.6866271,53.51832461
T187,314.4169662,53.51928525
T095,300.2858248,53.52320348
QL043,175.2206694,53.52397871
T059,255.9567453,53.52578177
T091,351.0415378,53.54716981
QL160,168.2520368,53.55904642
KG005,,53.57413625
T321,224.6348068,53.57461024
QL116,156.8579573,53.60388016
T189,319.8817037,53.60614425
QL192,229.5684568,53.60904608
QL126,159.1449712,53.64550071
QL392,229.1107224,53.67167827
YG049,,53.73184358
QL251,,53.77130927
QL296,,53.78068661
RH016,352.5175137,53.80183458
YG033,,53.80667838
T181,313.3216267,53.85564466
KG041,207.5351254,53.85984427
YG088,170.1492368,53.86078511
QL131,224.8553419,53.88112818
QL137,183.3812234,53.88972357
YG156,177.4994395,53.89573071
YG116,168.7145429,53.9543058
QL232,206.3788643,53.97482522
QL390,249.2726898,53.98091096
T195,275.3774762,53.99041769
YG103,183.5111693,53.99338785
