sample,N,C,H,S
YG088,2.2237,51.598,6.68,0.057
YG091,1.4563,55.6644,6.578,0.073
YG092,2.3271,53.6823,6.054,0.105
YG094,2.2266,52.2315,5.777,0.11
YG095,1.2488,51.7068,5.781,0.069
YG096,1.9459,51.7933,5.908,0.095
YG097,1.9172,52.1861,5.893,0.1
YG098,2.4371,50.8778,6.766,0.066
YG102,1.2512,50.3228,5.906,0.101
YG103,2.3052,50.8742,5.993,0.129
YG104,2.0964,50.0273,5.926,0.096
YG105,2.9442,51.7724,6.256,0.245
YG106,1.6364,53.5381,6.443,0.045
YG107,2.5056,53.0176,5.904,0.148
YG108,2.777,54.3991,7.039,0.05
YG109,2.0971,52.0985,5.918,0.096
YG110,0.4088,53.0866,7.004,0.015
YG111,0.5803,56.6886,7.75,0.05
YG112,0.5729,53.7227,7.1,0.092
YG113,0.7189,51.4153,6.219,0.031
YG114,1.2647,52.8123,6.659,0.037
YG115,1.6015,51.8348,6.864,0.069
YG130,0.6004,50.9697,6.567,0.018
YG131,0.9135,51.5235,6.389,0.016
YG133,0.9345,52.9196,6.451,0.039
YG138,1.5265,51.2987,5.971,0.087
YG139,2.3902,51.061,6.756,0.062
YG141,2.4122,51.2805,6.321,0.194
YG142,1.1532,57.862,6.724,0.071
YG143,2.1979,54.6533,6.954,0.046
YG144,1.3172,53.1214,5.821,0.074
YG146,2.3255,53.3873,6.578,0.07
YG147,2.6097,53.3778,6.738,0.054
YG148,1.1621,54.0291,6.794,0.032
YG149,1.7177,51.629,6.872,0.048
YG150,2.7033,51.1083,6.955,0.061
YG151,2.6048,51.0529,6.888,0.054
YG156,2.227,50.7149,5.927,0.124
YG159,1.3755,55.1427,6.261,0.07
YG160,1.8791,53.836,6.694,0.043
YG162,2.2575,53.5839,6.072,0.132
YG163,0.6143,56.3489,6.576,0.047
YG164,0.8887,55.25,7.153,0.023
YG165,0.945,52.858,6.053,0.073
YG166,0.8305,53.0568,6.474,0.043
YG171,0.5734,54.1477,6.191,0.049
YG172,0.697,53.378,6.328,0.08
YG173,0.5679,55.0498,6.578,0.05
YG174,0.5894,55.0228,6.874,0.031
YG178,0.4727,54.8049,7.155,0.031
YG179,0.7268,54.8393,6.548,0.043
YG180,0.7739,53.0566,6.243,0.066
YG181,0.8858,53.2527,7.207,0.033
YG189,0.3893,58.6516,7.9,0.026
YG190,0.726,53.915,6.299,0.046
YG192,0.9332,52.8644,6.866,0.205
YG194,0.388,57.8905,7.014,0.03
YG195,0.7277,53.623,6.352,0.048
YG197,0.6186,53.6697,6.611,0.047
YG205,0.3228,56.7856,7.557,0.016
YG206,1.0905,54.2438,7.225,0.031
YG208,0.6929,54.217,6.576,0.051
YG209,0.5086,51.0053,6.691,0.045
