id,temp_treatment,time,species,date,day,note,pot,proteomics,mdwp,amax,amax_tleaf,photo,gs,tleaf,vpdl,cica,FvFm,qP,phips2,ETR,LMA_g_m2,gs_mass,NAME,abiotic_stress,PSII,PSI,Photosystems,Light_reactions,Photorespiration,Calvin_cycle,Rubisco,Cytochrome_b6f,CHO_metabolism,glycolysis,TCA/_org_transformation,mitochondrial_electron_transport/ATP_synthesis,lipid_metabolism,secondary_metabolism,hormone_metabolism,redox,polyamine_metabolism,signalling,protein_folding,HSPs,protein,DNA,RNA,stress,ATP_synthase_chloroplastic,D1,D2,Rubisco_activase,log10gs
bot-6,home,pre_heatwave,eucbot,28/01/2015,1,pre-heatwave,6,yes,5.01,26.46409416,25.63107904,10.20986267,0.170864234,25.93013,1.675501586,0.738885435,0.424307395,0.247756369,0.10512486,82.57458173,52.15612749,0.003276015,X1bot6..1bot6_151218.wiff..sample.1..,197.8456423,1075.733128,543.7183185,1619.451446,2312.349758,225.5494631,2650.95142,1681.431618,56.96033118,200.1183132,91.71562497,117.9126229,100.3904311,63.31724473,95.50199762,46.98059249,223.9566783,1.222516914,59.13358348,58.60714968,162.8945218,779.3136514,48.98205613,101.0936117,203.0263896,562.5075592,46.9746973,66.11541519,130.5630081,-0.767348836062408
bot-7,home,pre_heatwave,eucbot,28/01/2015,1,pre-heatwave,7,yes,5.06,18.67863311,26.93829079,11.73867621,0.383857799,26.53654289,1.506869791,0.853128769,0.376320952,0.206958218,0.077882713,61.14593396,58.9198036,0.00651492,X1bot7..1bot7_151218.wiff..sample.1..,128.240288,987.2003907,484.7185468,1471.918938,2096.375237,168.659374,2376.790513,1501.480558,70.81575841,153.6362667,58.16710321,74.42840452,61.11317755,37.30039399,67.60339509,31.75286353,155.8860383,0.610194951,39.10815685,42.19686544,87.58969313,490.1323498,37.47982866,73.36398496,131.8287821,485.3154728,36.569845,56.20896327,119.1282791,-0.41582963122424
bter-2,home,pre_heatwave,eucter,28/01/2015,1,pre-heatwave,2,yes,8.54,20.25401257,23.4090662,14.93715642,0.625769106,22.16530037,1.415304166,0.87926273,0.453529249,0.215064168,0.097537891,76.6153909,47.32285989,0.0132234,X1bter2..1bter2_151218.wiff..sample.1..,121.9436964,858.975432,422.657328,1281.63276,1849.783733,182.3992089,1802.073936,1036.340785,44.65906985,133.0521899,54.19532472,59.06567803,53.7997692,39.69362127,46.06136643,13.51083727,148.7252079,0.733800087,37.87936653,39.62368339,89.86014281,497.7866,44.97201557,74.50680003,125.3512658,463.3179081,34.66903195,55.95987731,116.3417973,-0.203585881625935
bter-21,warm,pre_heatwave,eucter,28/01/2015,1,pre-heatwave,21,yes,5.31,19.83159738,24.64009309,14.74738872,0.455000593,24.36618423,1.090370236,0.850435412,0.526432505,0.180365948,0.094950498,74.52237454,70.37684053,0.006465203,X1bter21..1bter21_151218.wiff..sample.1..,136.3330722,706.7150417,313.2815948,1019.996637,1357.945067,145.1152242,1479.316301,886.9293774,33.34416798,116.5693549,50.13345436,58.41759643,49.74802223,31.59401173,51.22972923,12.24776731,115.2334598,0.62236071,39.38958723,33.06076953,94.94176507,450.2209151,48.7342759,60.88064065,139.5885859,259.8856667,32.03078034,58.70525095,92.52144761,-0.34198803732869
bter-29,warm,pre_heatwave,eucter,28/01/2015,1,pre-heatwave,29,yes,9.15,18.01010441,25.08618469,13.8813344,0.293460394,24.48880768,1.525344449,0.786627537,0.460195528,0.184797854,0.085043146,66.84221635,61.2112473,0.004794223,X1bter29..1bter29_151218.wiff..sample.1..,138.5835511,761.9717484,365.1047671,1127.076515,1522.643865,145.7460459,1787.582351,1167.612533,34.16020652,133.866802,60.2812571,55.3427616,49.67481731,32.73416481,62.17606186,15.39453633,135.2840786,0.576702551,40.08125228,35.42379353,95.62753089,469.6567399,48.28391456,67.34103245,143.0063265,313.5760277,32.50363322,49.14079429,76.41494709,-0.5324505037108
bter-30,warm,pre_heatwave,eucter,28/01/2015,1,pre-heatwave,30,yes,5.66,17.78567988,26.6708725,7.950559069,0.108659278,25.14589882,1.521324215,0.69141824,0.365844999,0.179682989,0.065736123,51.63908511,67.82437746,0.001602068,X1bter30..1bter30_151218.wiff..sample.1..,146.1490162,505.108652,228.1331421,733.241794,1024.601649,96.09380165,1410.553906,1001.660482,24.23280228,105.5584781,46.35618298,53.80564961,46.54200288,36.04022453,51.25472042,12.5963636,93.04281609,0.430057873,40.53023355,25.44742465,78.10833429,392.2585996,46.75195314,59.9955766,149.455754,236.1007771,22.02649731,34.27432057,53.79725917,-0.963933185016063
bter-6,home,pre_heatwave,eucter,28/01/2015,1,pre-heatwave,6,yes,7.91,24.59609428,25.1093914,18.04877961,0.578936019,24.26801109,1.288075045,0.850736283,0.558585219,0.189894742,0.106072396,83.38987769,49.06947174,0.011798293,X1bter6..1bter6_151218.wiff..sample.1..,176.4061932,834.0442794,391.3924629,1225.436742,1734.500308,137.3268288,1699.282399,1102.764329,38.40016786,129.2890838,73.72008955,73.56797021,63.48900196,65.57960104,112.6361814,20.92186404,143.8756278,1.083728547,49.70513961,47.82164759,121.1291899,594.672941,67.23636148,80.89546975,181.9369012,425.8192207,37.66518801,60.35984284,104.0552518,-0.237369429589671
bter-7,home,pre_heatwave,eucter,28/01/2015,1,pre-heatwave,7,yes,7.62,28.89086751,25.13747215,20.08066679,0.557232846,25.60715675,1.339906782,0.829994098,0.526308535,0.212987773,0.112097283,88.10793586,52.08590471,0.010698342,X1bter7..1bter7_151218.wiff..sample.1..,159.408368,871.2643421,422.9430971,1294.207439,1893.624333,170.6252868,2123.151023,1344.664723,43.03700144,150.4257028,65.39814497,74.51426059,65.67702519,54.97552052,68.32017286,17.41920045,163.2855255,0.861747734,46.39824715,43.6140154,109.8998866,594.7036987,57.88028557,86.30535665,164.1494205,496.9009627,39.63361457,58.77622657,125.0375671,-0.25396329207556
smit-11,home,pre_heatwave,eucsmi,28/01/2015,1,pre-heatwave,11,yes,5.59,20.5661864,23.06830406,14.49428327,0.861774448,23.11530495,0.851645122,0.916203247,0.403606429,0.232544506,0.093856458,73.79964181,46.68687034,0.018458604,X1smit11..1smit11_151214.wiff..sample.1..,229.1067807,1000.548129,490.7301603,1491.27829,1976.067744,132.1144332,2538.422966,1717.069552,42.49161979,151.1120711,75.65730078,90.87776125,71.4903524,55.87219824,144.4210066,25.51117202,182.9612675,1.228212743,58.33116058,60.74488662,166.5797312,736.9705771,89.49257072,105.1731229,235.8867472,383.9031566,44.45386198,93.99070229,141.5162316,-0.0646063870834794
smit-2,home,pre_heatwave,eucsmi,28/01/2015,1,pre-heatwave,2,yes,8.61,26.86251889,25.91959572,13.63116117,0.683285692,25.54235077,1.424028116,0.896759176,0.397657632,0.202661408,0.080589856,63.33984772,73.66786373,0.009275221,X1smit2..1smit2_151217.wiff..sample.1..,164.2435082,960.4862328,484.4281513,1444.914384,1933.247952,155.7178725,2048.540872,1247.761953,45.64022418,143.3901904,67.3943179,76.71199794,62.1313649,40.76115857,127.8943213,22.64519301,157.635585,0.79852797,44.71984829,43.57330314,112.3810215,551.365157,57.06124508,82.33537155,169.6005414,379.7162612,39.15082902,84.46842146,109.4048364,-0.16539767330703
smit-22,warm,pre_heatwave,eucsmi,28/01/2015,1,pre-heatwave,22,yes,5.96,16.63235762,22.8040657,12.59724534,0.772085845,21.81204987,1.507962271,0.908818186,0.464003386,0.168744677,0.078298102,61.55081375,54.77632999,0.014095246,X1smit22..1smit22_151216.wiff..sample.1..,144.2278914,824.609584,430.4780284,1255.087612,1735.127892,127.834577,2007.358543,1290.672706,62.72214906,129.7367195,53.77532932,62.59321875,49.32022447,38.68675144,85.42625034,16.95252962,132.1006043,0.373015709,38.0861628,39.13991665,88.37474755,484.6277981,58.68466848,71.27963312,148.4357992,363.7786865,34.50524412,78.28212299,109.0872655,-0.112334409590291
smit-28,warm,pre_heatwave,eucsmi,28/01/2015,1,pre-heatwave,28,yes,6.28,17.69155695,23.14643923,14.82471461,0.801116782,23.41441727,0.855474718,0.909749272,0.407684866,0.217446418,0.088649614,69.68372725,51.38877772,0.015589333,X1smit28..1smit28_151214.wiff..sample.1..,150.7913848,895.1395548,380.9228019,1276.062357,1887.008713,151.3779395,1978.23308,1172.113491,36.15428037,124.3282294,64.02401453,69.91314054,48.72486107,36.00834531,123.7690377,18.54932227,150.6041409,0.765452522,38.58857568,44.60672743,96.17121359,517.2522413,62.83503599,76.71202859,155.6823521,520.005082,40.79016731,92.79943293,150.15623,-0.0963041704559131
smit-9,home,pre_heatwave,eucsmi,28/01/2015,1,pre-heatwave,9,yes,5.66,15.91283101,23.35980034,11.91691588,0.734928334,22.93529892,0.821999533,0.919887291,0.407611769,0.264044613,0.107627692,84.56776782,53.05989583,0.013850919,X1smit9..1smit9_151217.wiff..sample.1..,165.0649727,789.2929309,352.4270039,1141.719935,1565.322131,123.0013843,1528.089071,912.5029487,33.36413577,126.8597004,71.87981037,72.85844602,57.74694092,41.5375246,137.2056306,21.39257505,139.8108057,0.423650907,44.66841791,43.06703078,116.7584311,553.900503,65.25968258,78.99138215,170.1720243,344.063239,49.56680939,62.38317335,96.96953724,-0.133755008760451
