sample,Latitude,Longitude,species
QL158,-17.91588,146.06968,grebai
QL159,-17.91588,146.06968,grebai
QL160,-17.91588,146.06968,grebai
QL161,-17.91588,146.06968,grebai
QL162,-17.91588,146.06968,grebai
QL163,-17.91588,146.06968,grebai
QL164,-17.91588,146.06968,grebai
QL165,-17.91588,146.06968,grebai
QL166,-17.92181,146.01045,banaqu
QL167,-17.92181,146.01045,banaqu
QL168,-17.92181,146.01045,banaqu
QL169,-17.92181,146.01045,banaqu
QL170,-17.92181,146.01045,corcla
QL171,-17.92181,146.01045,corcla
QL172,-17.92181,146.01045,corcla
QL173,-17.92181,146.01045,corcla
QL174,-17.92181,146.01045,corcla
QL175,-17.92181,146.01045,corcla
QL176,-17.92181,146.01045,banaqu
QL177,-17.92181,146.01045,banaqu
QL178,-17.92181,146.01045,banaqu
QL179,-17.92181,146.01045,banaqu
QL180,-17.92181,146.01045,banaqu
QL181,-17.92181,146.01045,banaqu
QL182,-17.92181,146.01045,banaqu
QL183,-17.92181,146.01045,banaqu
QL184,-17.92181,146.01045,corcla
QL185,-17.92181,146.01045,corcla
QL186,-17.92181,146.01045,corcla
QL187,-17.92285,146.06817,acacra
QL188,-17.92285,146.06817,acacra
QL189,-17.92285,146.06817,acacra
QL190,-17.92285,146.06817,acacra
QL191,-17.92285,146.06817,acacra
QL192,-17.92285,146.06817,acacra
QL193,-17.92285,146.06817,acacra
QL194,-17.92285,146.06817,acacra
QL195,-17.92285,146.06817,acacra
QL196,-17.92285,146.06817,acacra
QL197,-17.92285,146.06817,acacra
QL198,-17.92285,146.06817,acacra
QL199,-18.21239,145.54145,grepte
QL200,-18.21239,145.54145,grepte
QL201,-18.21239,145.54145,grepte
QL202,-18.21239,145.54145,grepte
QL203,-18.21239,145.54145,grepte
QL204,-18.21239,145.54145,grepte
QL205,-18.21239,145.54145,grepte
QL206,-18.21239,145.54145,grepte
QL207,-18.21239,145.54145,grepte
QL208,-18.229,145.53618,acajul
QL209,-18.229,145.53618,acajul
QL210,-18.229,145.53618,acajul
QL211,-18.229,145.53618,acajul
QL212,-18.229,145.53618,acajul
QL213,-18.229,145.53618,acajul
QL214,-18.229,145.53618,acajul
QL215,-18.229,145.53618,acajul
QL216,-18.229,145.53618,acajul
QL217,-18.229,145.53618,acajul
QL218,-18.229,145.53618,acajul
QL219,-18.229,145.53618,acajul
QL220,-18.23223,145.53238,eucatr
QL221,-18.23223,145.53238,eucatr
QL222,-18.23223,145.53238,eucatr
QL223,-18.22401,145.52532,eucter
QL224,-18.22401,145.52532,eucter
QL225,-18.22401,145.52532,eucter
QL226,-18.22401,145.52532,eucter
QL227,-18.22401,145.52532,eucter
QL228,-18.22401,145.52532,eucter
QL229,-18.22401,145.52532,eucter
QL230,-18.22401,145.52532,eucter
QL231,-18.22401,145.52532,eucter
QL232,-18.22401,145.52532,eucter
QL233,-18.22401,145.52532,eucter
QL234,-18.22401,145.52532,eucter
QL235,-18.23223,145.53238,eucatr
QL236,-18.23223,145.53238,eucatr
QL237,-18.23223,145.53238,eucatr
QL238,-18.23223,145.53238,eucatr
QL239,-18.23223,145.53238,eucatr
QL240,-18.23223,145.53238,eucatr
QL241,-18.23223,145.53238,eucatr
QL242,-18.23223,145.53238,eucatr
QL243,-18.23223,145.53238,eucatr
QL244,-18.21169,145.52417,perfal
QL245,-18.21169,145.52417,perfal
QL246,-18.21169,145.52417,perfal
QL247,-18.21169,145.52417,perfal
QL248,-18.21169,145.52417,perfal
QL249,-18.21169,145.52417,perfal
QL250,-18.21169,145.52417,perfal
QL251,-18.21169,145.52417,perfal
QL252,-18.21169,145.52417,perfal
QL253,-18.21169,145.52417,perfal
QL254,-18.21169,145.52417,perfal
QL255,-18.21169,145.52417,perfal
QL256,-18.32728,145.45414,acahol
QL257,-18.32728,145.45414,acahol
QL258,-18.32728,145.45414,acahol
QL259,-18.32728,145.45414,acahol
QL260,-18.31625,145.46642,acahol
QL261,-18.31625,145.46642,acahol
QL262,-18.31625,145.46642,acahol
QL263,-18.31625,145.46642,acahol
QL264,-18.31625,145.46642,acahol
QL265,-18.31625,145.46642,acahol
QL266,-18.31625,145.46642,acahol
QL267,-18.31625,145.46642,acahol
QL268,-18.32071,145.41898,gregla
QL269,-18.32071,145.41898,gregla
QL270,-18.32071,145.41898,gregla
QL271,-18.32071,145.41898,gregla
QL272,-18.32071,145.41898,gregla
QL273,-18.32071,145.41898,gregla
QL274,-18.32071,145.41898,gregla
QL275,-18.32071,145.41898,gregla
QL276,-18.32071,145.41898,gregla
QL277,-18.32071,145.41898,gregla
QL278,-18.32071,145.41898,gregla
QL279,-18.32071,145.41898,gregla
QL280,-18.29731,145.48898,xylsco
QL281,-18.29731,145.48898,xylsco
QL282,-18.29731,145.48898,xylsco
QL283,-18.29731,145.48898,xylsco
QL284,-18.29731,145.48898,xylsco
QL285,-18.29731,145.48898,xylsco
QL286,-18.29731,145.48898,xylsco
QL287,-18.29731,145.48898,xylsco
QL288,-18.29731,145.48898,xylsco
QL289,-18.29787,145.48911,gregla
QL290,-18.29787,145.48911,gregla
QL291,-18.29787,145.48911,gregla
QL292,-18.29787,145.48911,gregla
QL293,-18.29787,145.48911,gregla
QL294,-18.29787,145.48911,gregla
QL295,-18.29787,145.48911,gregla
QL296,-18.29787,145.48911,gregla
QL297,-18.29787,145.48911,gregla
QL298,-18.29787,145.48911,gregla
QL299,-18.29787,145.48911,gregla
QL300,-18.29787,145.48911,gregla
QL301,-18.29734,145.48915,eucmed
QL302,-18.29734,145.48915,eucmed
QL303,-18.29734,145.48915,eucmed
QL304,-18.29734,145.48915,eucmed
QL305,-18.29734,145.48915,eucmed
QL306,-18.29734,145.48915,eucmed
QL307,-18.29734,145.48915,eucmed
QL308,-18.29734,145.48915,eucmed
QL309,-18.29734,145.48915,eucmed
QL310,-18.29734,145.48915,eucmed
QL311,-18.29734,145.48915,eucmed
QL312,-18.29734,145.48915,eucmed
QL313,-18.29734,145.48915,corcit
QL314,-18.29734,145.48915,corcit
QL315,-18.29734,145.48915,corcit
QL316,-18.29734,145.48915,corcit
QL317,-18.29734,145.48915,corcit
QL318,-18.29734,145.48915,corcit
QL319,-18.29734,145.48915,corcit
QL320,-18.29734,145.48915,corcit
QL321,-18.29734,145.48915,corcit
QL322,-18.15871,142.21484,eucdis
QL323,-18.15871,142.21484,eucdis
QL324,-18.15871,142.21484,eucdis
QL325,-18.15871,142.21484,eucdis
QL326,-18.15871,142.21484,eucdis
QL327,-18.15871,142.21484,eucdis
QL328,-18.15871,142.21484,eucdis
QL329,-18.15871,142.21484,eucdis
QL330,-18.15871,142.21484,eucdis
QL331,-18.15871,142.21484,eucdis
QL332,-18.15871,142.21484,eucdis
QL333,-18.15871,142.21484,eucdis
QL334,-18.16105,142.21069,gremim
QL335,-18.16105,142.21069,gremim
QL336,-18.16105,142.21069,gremim
QL337,-18.16105,142.21069,gremim
QL338,-18.16105,142.21069,gremim
QL339,-18.16105,142.21069,gremim
QL340,-18.16105,142.21069,gremim
QL341,-18.16105,142.21069,gremim
QL342,-18.16105,142.21069,gremim
QL343,-18.16105,142.21069,gremim
QL344,-18.16105,142.21069,gremim
QL345,-18.16105,142.21069,gremim
QL346,-18.21837,142.27066,grepar
QL347,-18.21837,142.27066,grepar
QL348,-18.21837,142.27066,grepar
QL349,-18.21837,142.27066,grepar
QL350,-18.21837,142.27066,grepar
QL351,-18.21837,142.27066,grepar
QL352,-18.21837,142.27066,grepar
QL353,-18.21837,142.27066,grepar
QL354,-18.21837,142.27066,grepar
QL355,-18.21837,142.27066,grepar
QL356,-18.21837,142.27066,grepar
QL357,-18.21837,142.27066,grepar
QL358,-18.21837,142.27066,grestr
QL359,-18.21837,142.27066,grestr
QL360,-18.21837,142.27066,grestr
QL361,-18.21837,142.27066,grestr
QL362,-18.21837,142.27066,grestr
QL363,-18.21837,142.27066,grestr
QL364,-18.21837,142.27066,grestr
QL365,-18.21837,142.27066,grestr
QL366,-18.21837,142.27066,grestr
QL367,-18.21837,142.27066,grestr
QL368,-18.21837,142.27066,grestr
QL369,-18.21837,142.27066,grestr
QL370,-18.21837,142.27066,acashi
QL371,-18.21837,142.27066,acashi
QL372,-18.21837,142.27066,acashi
QL373,-18.21837,142.27066,acashi
QL374,-18.21837,142.27066,acashi
QL375,-18.21837,142.27066,acashi
QL376,-18.21837,142.27066,acashi
QL377,-18.21837,142.27066,acashi
QL378,-18.21837,142.27066,acashi
QL379,-18.21837,142.27066,acashi
QL380,-18.21837,142.27066,acashi
QL381,-18.21837,142.27066,acashi
QL382,-18.16105,142.21069,acacol
QL383,-18.16105,142.21069,acacol
QL384,-18.16105,142.21069,acacol
QL385,-18.18903,142.26241,corpoc
QL386,-18.18903,142.26241,corpoc
QL387,-18.18903,142.26241,corpoc
QL388,-18.16105,142.21069,acacol
QL389,-18.16105,142.21069,acacol
QL390,-18.16105,142.21069,acacol
QL391,-18.16105,142.21069,acacol
QL392,-18.16105,142.21069,acacol
QL393,-18.16105,142.21069,acacol
QL394,-18.16105,142.21069,acacol
QL395,-18.16105,142.21069,acacol
QL396,-18.16105,142.21069,acacol
QL397,-18.18903,142.26241,corpoc
QL398,-18.18903,142.26241,corpoc
QL399,-18.18903,142.26241,corpoc
QL400,-18.18903,142.26241,corpoc
QL401,-18.18903,142.26241,corpoc
QL402,-18.18903,142.26241,corpoc
QL403,-18.18903,142.26241,corpoc
QL404,-18.18903,142.26241,corpoc
QL405,-18.18903,142.26241,corpoc
QL405,-18.18903,142.26241,corpoc
QL406,-19.04745,138.8575,eucpru
QL407,-19.04745,138.8575,eucpru
QL408,-19.04745,138.8575,eucpru
QL409,-19.04745,138.8575,eucpru
QL410,-19.04745,138.8575,eucpru
QL411,-19.04745,138.8575,eucpru
QL412,-19.04745,138.8575,eucpru
QL413,-19.04745,138.8575,eucpru
QL414,-19.04745,138.8575,eucpru
QL415,-19.04745,138.8575,eucpru
QL416,-19.04745,138.8575,eucpru
QL417,-19.04745,138.8575,eucpru
QL418,-19.04745,138.8575,acahem
QL419,-19.04745,138.8575,acahem
QL420,-19.04745,138.8575,acahem
QL421,-19.04745,138.8575,acahem
QL422,-19.04745,138.8575,acahem
QL423,-19.04745,138.8575,acahem
QL424,-19.04745,138.8575,acahem
QL425,-19.04745,138.8575,acahem
QL426,-19.04745,138.8575,acahem
QL427,-19.04745,138.8575,acahem
QL427,-19.04745,138.8575,acahem
QL428,-19.04745,138.8575,acahem
QL429,-19.04745,138.8575,acahem
QL430,-19.04745,138.8575,hakcho
QL431,-19.04745,138.8575,hakcho
QL432,-19.04745,138.8575,hakcho
QL433,-19.04745,138.8575,hakcho
QL434,-19.04745,138.8575,hakcho
QL435,-19.04745,138.8575,hakcho
QL436,-19.04745,138.8575,hakcho
QL437,-19.04745,138.8575,hakcho
QL438,-19.04745,138.8575,hakcho
QL439,-19.04745,138.8575,hakcho
QL440,-19.04745,138.8575,hakcho
QL441,-19.04745,138.8575,hakcho
QL442,-18.71986,138.52217,hakarb
QL443,-18.71986,138.52217,hakarb
QL444,-18.71986,138.52217,hakarb
QL445,-18.71986,138.52217,corter
QL446,-18.71986,138.52217,corter
QL447,-18.71986,138.52217,corter
QL448,-18.71986,138.52217,corter
QL449,-18.71986,138.52217,corter
QL450,-18.71986,138.52217,corter
QL451,-18.71986,138.52217,corter
QL452,-18.71986,138.52217,corter
QL453,-18.71986,138.52217,corter
QL454,-18.71986,138.52217,corter
QL455,-18.71986,138.52217,corter
QL456,-18.71986,138.52217,corter
QL457,-18.71986,138.52217,hakarb
QL458,-18.71986,138.52217,hakarb
QL459,-18.71986,138.52217,hakarb
QL460,-18.71986,138.52217,hakarb
QL461,-18.71986,138.52217,hakarb
QL462,-18.71986,138.52217,hakarb
QL463,-18.71986,138.52217,hakarb
QL464,-18.71986,138.52217,hakarb
QL465,-18.71986,138.52217,hakarb
RH001,-32.96407,146.16016,eucdum
RH002,-32.96407,146.16016,eucdum
RH003,-32.96407,146.16016,eucdum
RH004,-32.96407,146.16016,eucdum
RH005,-32.96407,146.16016,eucdum
RH006,-32.96407,146.16016,eucdum
RH007,-32.96407,146.16016,eucdum
RH008,-32.96407,146.16016,eucdum
RH009,-32.96407,146.16016,eucdum
RH009,-32.96407,146.16016,eucdum
RH010,-32.96407,146.16016,eucdum
RH011,-32.96407,146.16016,eucdum
RH012,-32.96407,146.16016,eucdum
RH013,-32.96394,146.16149,acaane
RH014,-32.96394,146.16149,acaane
RH015,-32.96394,146.16149,acaane
RH016,-32.96394,146.16149,acaane
RH017,-32.96394,146.16149,acaane
RH018,-32.96394,146.16149,acaane
RH019,-32.96394,146.16149,acaane
RH020,-32.96394,146.16149,acaane
RH021,-32.96394,146.16149,acaane
RH022,-32.96381,146.16138,haktep
RH023,-32.96381,146.16138,haktep
RH024,-32.96381,146.16138,haktep
RH025,-32.96381,146.16138,haktep
RH026,-32.96381,146.16138,haktep
RH027,-32.96381,146.16138,haktep
RH028,-32.96381,146.16138,haktep
RH029,-32.96381,146.16138,haktep
RH030,-32.96381,146.16138,haktep
RH031,-32.96407,146.16016,aca_sp
RH032,,,NA
RH033,,,NA
RH034,-32.96407,146.16016,aca_sp
RH035,-32.96407,146.16016,aca_sp
RH036,-32.96407,146.16016,aca_sp
RH037,-32.96407,146.16016,aca_sp
RH038,-32.96407,146.16016,aca_sp
RH039,-32.96407,146.16016,aca_sp
RH040,-32.96407,146.16016,aca_sp
RH041,-32.96407,146.16016,aca_sp
RH042,-33.00208,146.16899,greane
RH043,-33.00208,146.16899,greane
RH044,-33.00208,146.16899,greane
RH045,-33.00208,146.16899,greane
RH046,-33.00208,146.16899,greane
RH047,-33.00208,146.16899,greane
RH048,-33.00208,146.16899,greane
RH049,-33.00208,146.16899,greane
RH050,-33.00208,146.16899,greane
RH051,-33.00208,146.16899,greane
RH052,-33.00208,146.16899,greane
RH053,-33.00208,146.16899,greane
RH054,-33.03783,146.20221,eucsoc
RH055,-33.03783,146.20221,eucsoc
RH056,-33.03783,146.20221,eucsoc
RH057,-33.03783,146.20221,eucsoc
RH058,-33.03783,146.20221,eucsoc
RH059,-33.03783,146.20221,eucsoc
RH060,-33.03783,146.20221,eucsoc
RH061,-33.03783,146.20221,eucsoc
RH062,-33.03783,146.20221,eucsoc
RH063,-33.03783,146.20221,eucsoc
RH064,-33.03783,146.20221,eucsoc
RH064,-33.03783,146.20221,eucsoc
RH065,-33.03783,146.20221,eucsoc
RH066,-33.03783,146.20221,greill
RH067,-33.03783,146.20221,greill
RH068,-33.03783,146.20221,greill
RH069,-33.03783,146.20221,greill
RH070,-33.03783,146.20221,greill
RH071,-33.03783,146.20221,greill
RH072,-33.03783,146.20221,greill
RH073,-33.03783,146.20221,greill
RH074,-33.03783,146.20221,greill
RH075,-30.81876,141.7987,hakleu
RH076,-30.81876,141.7987,hakleu
RH077,-30.81876,141.7987,hakleu
RH078,-30.81876,141.7987,hakleu
RH079,-30.81876,141.7987,hakleu
RH080,-30.81876,141.7987,hakleu
RH081,-30.81876,141.7987,hakleu
RH082,-30.81876,141.7987,hakleu
RH083,-30.81876,141.7987,hakleu
RH084,-30.7094,141.87689,acaosw
RH085,-30.7094,141.87689,acaosw
RH086,-30.7094,141.87689,acaosw
RH087,-30.7094,141.87689,acaosw
RH088,-30.7094,141.87689,acaosw
RH089,-30.7094,141.87689,acaosw
RH090,-30.7094,141.87689,acaosw
RH091,-30.7094,141.87689,acaosw
RH092,-30.7094,141.87689,acaosw
RH093,-30.7094,141.87689,acaosw
RH094,-30.7094,141.87689,acaosw
RH095,-30.7094,141.87689,acaosw
RH096,-31.0831,141.71401,eucgil
RH096,-31.0831,141.71401,eucgil
RH097,-31.0831,141.71401,eucgil
RH098,-31.0831,141.71401,eucgil
RH099,-31.0831,141.71401,eucgil
RH100,-31.0831,141.71401,eucgil
RH101,-31.0831,141.71401,eucgil
RH102,-31.0831,141.71401,eucgil
RH103,-31.0831,141.71401,eucgil
RH104,-31.0831,141.71401,eucgil
RH105,-31.29606,142.27874,grestr
RH106,-31.29606,142.27874,grestr
