sample,P ,S ,Unit
KG121                                       ,284.891,570.368,ppm 
YG080                                       ,1821.122,142.137,ppm 
KG141                                       ,203.833,505.71,ppm 
KG039                                       ,0,0,ppm 
YG019                                       ,1118.546,318.785,ppm 
RH057                                       ,136.465,364.628,ppm 
KG137                                       ,239.583,135.485,ppm 
RH061                                       ,142.337,252.867,ppm 
YG022                                       ,752.189,649.76,ppm 
RH065                                       ,145.064,456.317,ppm 
YG045                                       ,490.154,172.461,ppm 
KG140                                       ,0,0,ppm 
RH054                                       ,0,297.856,ppm 
KG048                                       ,0,0,ppm 
KG132                                       ,19.373,207.581,ppm 
KG116                                       ,0,280.131,ppm 
KG136                                       ,1.34,0,ppm 
QL231                                       ,798.761,556.59,ppm 
QL116                                       ,408.506,404.559,ppm 
QL004                                       ,199.649,1043.553,ppm 
QL229                                       ,951.807,577.941,ppm 
QL386                                       ,0,0,ppm 
QL108                                       ,385.821,328.188,ppm 
QL413                                       ,11.78,0,ppm 
QL330                                       ,431.669,122.249,ppm 
QL112                                       ,496.063,321.488,ppm 
QL405                                       ,138.82,0,ppm 
QL412                                       ,287.371,250.616,ppm 
QL447                                       ,0,0,ppm 
QL301                                       ,728.485,109.201,ppm 
QL399                                       ,261.387,0,ppm 
QL387                                       ,58.596,0,ppm 
QL011                                       ,490.59,716.803,ppm 
QL312                                       ,474.486,0,ppm 
QL306                                       ,1260.591,364.821,ppm 
YG126                                       ,30.132,48.102,ppm 
QL109                                       ,296.81,312.359,ppm 
QL222                                       ,2855.165,0,ppm 
QL003                                       ,573.041,1099.431,ppm 
QL113                                       ,137.429,127.021,ppm 
QL007                                       ,605.763,1013.951,ppm 
QL223?                                      ,360.98,86.786,ppm 
QL117                                       ,185.063,0,ppm 
QL408                                       ,208.454,296.04,ppm 
QL220                                       ,3552.878,0,ppm 
QL234                                       ,734.113,677.32,ppm 
QL409                                       ,62.91,0,ppm 
