extraction_number,sample_number,species_confirmed
15-36,YG086,euccre
15-37,YG129,eucpun
15-38,YG125,angcos
,YG119,eucspa
15-40,YG127,eucpun
15-41,YG123,angcos
15-42,YG124,angcos
DP002,YG135,eucspa
15-44,YG084,euccre
16-01,T294,acamel
16-02,RH089,acaosw
16-03,KG090,acalon
16-04,T141,acamuc
16-05,T384,acalon
16-06,T144,acamuc
16-07,T254,acadea
16-08,T386,acalon
16-09,QL216,acajul
16-10,RH085,acaosw
16-11,T084,acaric
16-12,T069,acadea
16-13,YG062,acapar
16-14,YG094,acafal
16-15,KG047,acasua
16-16,YG141,acabin
16-17,QL072,acaman
16-18,T065,acadea
16-19,QL390,acacol
16-20,RH021,acaane
16-21,QL126,acafla
16-23,T346,acadec
16-24,QL119,acafla
16-25,YG147,acafal
16-26,QL211,acajul
16-27,QL428,acahem
16-28,T303,acater
16-29,QL214,acajul
16-30,QL076,acaman
16-31,KG091,acalon
16-32,T257,acadea
16-33,T391,acalon
16-34,T305,acater
16-35,YG146,acafal
16-36,RH015,acaane
16-37,T304,acater
16-38,T088,acaric
16-39,RH014,acaane
16-41,QL052,acacel
16-42,YG117,acaimp
16-43,T134,acamel
16-44,T067,acadea
16-46,T133,acamel
16-47,T087,acaric
16-48,YG105,acabin
17-01,QL389,acacol
17-02,QL054,acacel
17-03,T389,acalon
17-04,YG099,acapar
17-05,T258,acadea
17-07,YG064,acapar
17-08,YG161,acafal
17-09,QL118,acafla
17-10,KG043,acalon
17-11,QL208,acajul
17-12,QL370,acashi
17-13,KG004,acauli
17-14,YG103,acabin
17-15,T301,acater
17-16,KG035,acauli
17-17,YG143,acafal
17-18,T347,acadec
17-19,RH039,aca_sp
17-20,T368,acagen
17-21,KG016,acasua
17-22,QL192,acacra
17-23,T306,acater
17-24,QL388,acacol
17-25,T350,acadec
17-26,RH094,acaosw
17-29,T291,acamel
17-31,T066,acadea
17-32,QL265,acahol
17-33,YG100,acapar
17-34,QL071,acaman
17-35,RH035,aca_sp
17-36,YG096,acaimp
17-37,QL212,acajul
17-38,T142,acamuc
17-39,KG008,acauli
17-40,YG150,acaimp
17-41,T082,acaric
17-42,YG145,acafal
17-43,QL262,acahol
17-44,YG160,acafal
17-45,YG158,acabin
17-46,T128,acamel
17-47,RH009,eucdum
17-48,YG203,corexi
18-01,QL395,acacol
18-02,QL078,acaman
18-03,T253,acadea
18-04,QL392,acacol
18-05,QL213,acajul
18-06,T345,acadec
18-07,YG104,acabin
18-08,RH019,acaane
18-09,RH034,aca_sp
18-10,YG092,acafal
18-11,QL120,acafla
18-12,RH031,aca_sp
18-13,T129,acamel
18-14,RH086,acaosw
18-15,KG007,acauli
18-16,QL074,acaman
18-17,T394,acalon
18-18,T299,acater
18-19,RH040,aca_sp
18-20,YG097,acaimp
18-21,QL264,acahol
18-22,QL196,acacra
18-23,YG153,acaimp
18-24,T366,acagen
18-25,QL050,acacel
18-26,QL396,acacol
18-28,YG162,acafal
18-29,T343,acadec
18-30,T292,acamel
18-31,YG151,acaimp
18-33,QL127,acafla
18-34,RH013,acaane
18-35,T130,acamel
18-36,T363,acagen
18-37,T288,acamel
18-38,QL209,acajul
18-39,QL394,acacol
18-40,RH037,aca_sp
18-41,RH093,acaosw
18-42,T090,acaric
18-43,T390,acalon
18-44,T068,acadea
18-46,T349,acadec
18-47,T061,acadea
18-48,QL371,acashi
19-01,YG140,acabin
19-02,T256,acadea
19-03,T362,acagen
19-04,QL393,acacol
19-05,KG042,acalon
19-06,QL376,acashi
19-07,T395,acalon
19-08,T300,acater
19-09,T296,acamel
19-10,QL188,acacra
19-11,QL379,acashi
19-12,YG149,acaimp
19-13,T351,acadec
19-14,RH095,acaosw
19-15,KG070,acasua
19-16,T085,acaric
19-17,QL215,acajul
19-18,QL375,acashi
19-19,KG032,acalon
19-20,QL266,acahol
19-21,QL079,acaman
19-22,QL124,acafla
19-23,KG071,acasua
19-24,T064,acadea
19-25,KG046,acasua
19-26,YG152,acaimp
19-27,T063,acadea
19-28,QL123,acafla
19-29,KG034,acauli
19-30,RH018,acaane
19-31,YG156,acabin
19-32,QL189,acacra
19-33,KG031,acalon
19-34,KG030,acalon
19-35,RH001,eucdum
19-37,QL419,acahem
19-38,YG157,acabin
19-39,T298,acater
19-40,YG139,acabin
19-41,QL055,acacel
19-42,QL070,acaman
19-43,QL418,acahem
19-45,QL122,acafla
19-46,YG107,acafal
19-47,YG109,acafal
19-48,YG090,acabin
20-01,T083,acaric
20-02,T086,acaric
20-03,YG154,acaimp
20-04,QL048,acacel
20-05,YG101,acapar
20-06,T348,acadec
20-07,T385,acalon
20-09,QL210,acajul
20-10,QL056,acacel
20-11,QL374,acashi
20-12,T136,acamuc
20-13,KG015,acasua
20-14,T295,acamel
20-15,YG108,acafal
20-16,QL195,acacra
20-17,YG115,acaimp
20-19,RH041,aca_sp
20-20,QL047,acacel
20-21,YG063,acapar
20-22,T286,acamel
20-23,QL258,acahol
20-24,T259,acadea
20-25,QL197,acacra
20-26,RH017,acaane
20-27,QL424,acahem
20-28,T290,acamel
20-29,QL187,acacra
20-30,KG006,acauli
20-31,T302,acater
20-32,QL046,acacel
20-33,YG098,acaimp
20-34,YG088,acabin
20-35,KG089,acalon
20-36,T393,acalon
20-37,QL380,acashi
20-38,QL080,acaman
20-39,T143,acamuc
20-40,QL051,acacel
20-41,QL260,acahol
20-42,YG116,acaimp
20-43,KG014,acasua
20-44,T371,acagen
20-45,T137,acamuc
20-46,T132,acamel
20-47,T062,acadea
20-48,T260,acadea
21-01,KG045,acasua
21-02,QL257,acahol
21-03,KG003,acauli
21-04,KG069,acasua
21-05,T138,acamuc
21-06,QL256,acahol
21-07,QL427,acahem
21-08,T139,acamuc
21-09,QL191,acacra
21-10,KG033,acauli
21-11,QL372,acashi
21-12,T135,acamel
21-13,T344,acadec
21-14,RH016,acaane
21-15,QL391,acacol
21-16,QL128,acafla
21-17,QL420,acahem
21-18,QL422,acahem
21-19,YG093,acafal
21-20,T261,acadea
21-21,T370,acagen
21-22,T287,acamel
21-23,T089,acaric
21-24,KG023,euchae
21-25,T367,acagen
21-26,RH020,acaane
21-27,QL075,acaman
21-28,QL426,acahem
21-29,T140,acamuc
21-30,QL378,acashi
21-31,QL193,acacra
21-32,T127,acamel
21-33,QL423,acahem
21-34,QL113,corint
21-35,QL109,corint
21-36,QL117,corint
21-37,T289,acamel
21-38,T293,acamel
21-39,T297,acamel
21-40,QL085,grepte
21-41,QL089,grepte
21-42,QL093,grepte
21-43,T265,conhoo
21-44,T269,conhoo
21-45,T273,conhoo
21-46,KG005,acauli
21-47,RH090,acaosw
21-48,T369,acagen
22-01,T255,acadea
22-02,QL261,acahol
22-03,T131,acamel
22-04,RH038,aca_sp
22-05,T364,acagen
22-06,RH036,aca_sp
22-07,KG041,acalon
22-08,YG089,acabin
22-09,RH087,acaosw
22-10,RH091,acaosw
22-11,QL299,gregla
22-12,QL277,gregla
22-16,T178,teltru
22-18,QL063,grehil
22-19,QL350,grepar
22-20,QL016,opihet
22-21,T111,lompol
22-22,QL087,grepte
22-23,QL355,grepar
22-24,T076,banmar
22-26,QL460,hakarb
22-27,T215,perjun
22-28,QL346,grepar
22-29,QL283,xylsco
22-30,T025,oriaci
22-31,QL295,gregla
22-32,T268,conhoo
22-33,QL013,opihet
22-34,T039,orirev
22-35,RH026,haktep
22-37,RH028,haktep
22-39,QL038,carsub
22-40,YG111,perlin
22-42,QL289,gregla
22-43,KG059,grespe
22-44,T095,teltru
22-45,YG176,perlan
22-46,QL178,banaqu
22-47,T360,lomtin
22-48,T276,banmar
23-01,QL040,carsub
23-03,QL022,darfer
23-04,RH068,greill
23-05,QL176,banaqu
23-09,QL462,hakarb
23-10,QL341,gremim
23-11,YG165,grebux
23-12,T091,teltru
23-13,QL028,darfer
23-14,QL248,perfal
23-17,T357,lomtin
23-18,T074,banmar
23-20,T189,agaodo
23-21,T193,cennit
23-23,QL035,carsub
23-25,QL337,gremim
23-28,RH072,greill
23-29,T264,conhoo
23-30,YG208,hakdac
24-01,QL202,grepte
24-02,T284,banmar
24-04,QL287,xylsco
24-05,KG125,greser
24-06,T239,banmar
24-07,QL034,carsub
24-08,T079,banmar
24-09,QL272,gregla
24-10,T203,cennit
24-11,QL002,athdiv
24-12,YG206,hakdac
24-13,QL100,grepar
24-14,RH071,greill
24-15,QL205,grepte
24-16,T195,cennit
24-17,YG068,perlin
24-18,KG075,haklae
24-19,QL014,opihet
24-20,KG097,greser
24-21,T179,teltru
24-22,QL062,grehil
24-23,QL001,athdiv
24-25,T113,lompol
24-27,KG067,grespe
24-30,QL275,gregla
24-31,T206,perjun
24-32,T263,conhoo
24-34,QL203,grepte
24-35,QL006,athdiv
24-36,QL290,gregla
24-37,QL351,grepar
24-38,T121,oridiv
24-39,T071,banmar
24-40,T097,teltru
24-41,T177,teltru
24-42,T194,cennit
24-43,KG087,perlev
24-45,QL082,grepte
24-46,KG113,greser
24-47,QL250,perfal
24-48,RH079,hakleu
25-01,QL010,athdiv
25-02,T205,perjun
25-03,KG063,haklae
25-04,QL083,grepte
25-05,KG062,haklae
25-06,T275,banmar
25-07,T072,banmar
25-08,T092,teltru
25-09,T105,lompol
25-10,T190,agaodo
25-11,YG164,grebux
25-12,QL024,darfer
25-13,T171,teltru
25-14,QL293,gregla
25-15,T278,banmar
25-16,YG113,perlin
25-17,YG173,hakdac
25-18,QL059,grehil
25-19,YG066,perlin
25-20,QL027,darfer
25-21,YG131,gremuc
25-22,YG061,gremuc
25-23,YG184,perlan
25-24,KG066,grespe
25-25,QL206,grepte
25-26,T271,conhoo
25-27,QL280,xylsco
25-28,KG019,grespe
25-29,QL284,xylsco
25-30,QL161,grebai
25-31,KG026,perlev
25-32,T234,banmar
25-33,RH053,greane
25-34,KG027,perlev
25-35,QL160,grebai
25-36,QL031,darfer
25-37,T198,cennit
25-38,T185,agaodo
25-39,QL017,opihet
25-40,T043,orirev
25-41,RH067,greill
25-42,T199,cennit
25-43,YG200,perlan
25-44,QL020,opihet
25-45,T123,oridiv
25-46,QL245,perfal
25-47,QL058,grehil
25-48,QL249,perfal
26-01,QL039,carsub
26-02,T107,lompol
26-03,RH044,greane
26-04,QL103,grepar
26-05,T042,orirev
