sample,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
YG109,acafal,-32.7817,150.9291,old,2,NSW_Yengo_N,140607
YG108,acafal,-32.7817,150.9291,mid,2,NSW_Yengo_N,140607
YG106,acafal,-32.7817,150.9291,sen,2,NSW_Yengo_N,140607
YG147,acafal,-32.7817,150.9291,new,3,NSW_Yengo_N,140608
YG146,acafal,-32.7817,150.9291,mid,3,NSW_Yengo_N,140608
YG143,acafal,-32.7817,150.9291,old,3,NSW_Yengo_N,140608
YG145,acafal,-32.7817,150.9291,old,3,NSW_Yengo_N,140608
YG142,acafal,-32.7817,150.9291,sen,3,NSW_Yengo_N,140608
YG144,acafal,-32.7817,150.9291,sen,3,NSW_Yengo_N,140608
YG161,acafal,-32.7817,150.9291,mid,4,NSW_Yengo_N,140609
YG160,acafal,-32.7817,150.9291,old,4,NSW_Yengo_N,140609
YG162,acafal,-32.7817,150.9291,new,4,NSW_Yengo_N,140609
YG159,acafal,-32.7817,150.9291,sen,4,NSW_Yengo_N,140609
QL126,acafla,-18.43758,146.13636,new,3,QLD_Cardwell_S,150809
QL119,acafla,-18.43758,146.13636,mid,1,QLD_Cardwell_S,150809
QL118,acafla,-18.43758,146.13636,new,1,QLD_Cardwell_S,150809
QL120,acafla,-18.43758,146.13636,old,1,QLD_Cardwell_S,150809
QL127,acafla,-18.43758,146.13636,mid,3,QLD_Cardwell_S,150809
QL124,acafla,-18.43758,146.13636,old,2,QLD_Cardwell_S,150809
QL123,acafla,-18.43758,146.13636,mid,2,QLD_Cardwell_S,150809
QL122,acafla,-18.43758,146.13636,new,2,QLD_Cardwell_S,150809
QL128,acafla,-18.43758,146.13636,old,3,QLD_Cardwell_S,150809
QL125,acafla,-18.43758,146.13636,sen,2,QLD_Cardwell_S,150809
QL121,acafla,-18.43758,146.13636,sen,1,QLD_Cardwell_S,150809
QL129,acafla,-18.43758,146.13636,sen,3,QLD_Cardwell_S,150809
T368,acagen,-43.0403,147.94647,old,2,TAS_Tasman_Peninsula,150312
T366,acagen,-43.0403,147.94647,new,2,TAS_Tasman_Peninsula,150312
T363,acagen,-43.0403,147.94647,mid,1,TAS_Tasman_Peninsula,150312
T362,acagen,-43.0403,147.94647,new,1,TAS_Tasman_Peninsula,150312
T371,acagen,-43.0403,147.94647,old,3,TAS_Tasman_Peninsula,150312
T370,acagen,-43.0403,147.94647,mid,3,TAS_Tasman_Peninsula,150312
T367,acagen,-43.0403,147.94647,mid,2,TAS_Tasman_Peninsula,150312
T369,acagen,-43.0403,147.94647,new,3,TAS_Tasman_Peninsula,150312
T364,acagen,-43.0403,147.94647,old,1,TAS_Tasman_Peninsula,150312
T365,acagen,-43.0403,147.94647,sen,1,TAS_Tasman_Peninsula,150312
QL428,acahem,-19.04745,138.8575,old,3,QLD_Lawn_Hill,150825
QL419,acahem,-19.04745,138.8575,mid,1,QLD_Lawn_Hill,150825
QL418,acahem,-19.04745,138.8575,new,1,QLD_Lawn_Hill,150825
QL424,acahem,-19.04745,138.8575,old,2,QLD_Lawn_Hill,150825
QL427,acahem,-19.04745,138.8575,mid,3,QLD_Lawn_Hill,150825
QL420,acahem,-19.04745,138.8575,old,1,QLD_Lawn_Hill,150825
QL422,acahem,-19.04745,138.8575,new,2,QLD_Lawn_Hill,150825
QL426,acahem,-19.04745,138.8575,new,3,QLD_Lawn_Hill,150825
QL423,acahem,-19.04745,138.8575,mid,2,QLD_Lawn_Hill,150825
QL421,acahem,-19.04745,138.8575,sen,1,QLD_Lawn_Hill,150825
QL429,acahem,-19.04745,138.8575,sen,3,QLD_Lawn_Hill,150825
QL425,acahem,-19.04745,138.8575,sen,2,QLD_Lawn_Hill,150825
QL265,acahol,-18.31625,145.46642,mid,3,QLD_Princess_Hill,150818
QL262,acahol,-18.31625,145.46642,old,2,QLD_Princess_Hill,150818
QL264,acahol,-18.31625,145.46642,new,3,QLD_Princess_Hill,150818
QL266,acahol,-18.31625,145.46642,old,3,QLD_Princess_Hill,150818
QL258,acahol,-18.32728,145.45414,old,1,QLD_Princess_Hill,150818
QL260,acahol,-18.31625,145.46642,new,2,QLD_Princess_Hill,150818
QL257,acahol,-18.32728,145.45414,mid,1,QLD_Princess_Hill,150818
QL256,acahol,-18.32728,145.45414,new,1,QLD_Princess_Hill,150818
QL261,acahol,-18.31625,145.46642,mid,2,QLD_Princess_Hill,150818
QL263,acahol,-18.31625,145.46642,sen,2,QLD_Princess_Hill,150818
QL267,acahol,-18.31625,145.46642,sen,3,QLD_Princess_Hill,150818
QL259,acahol,-18.32728,145.45414,sen,1,QLD_Princess_Hill,150818
YG032,acaimp,-32.7817,150.9291,sen,1,NSW_Yengo_N,140420
YG034,acaimp,-32.7817,150.9291,old,1,NSW_Yengo_N,140420
YG033,acaimp,-32.7817,150.9291,mid,1,NSW_Yengo_N,140420
YG035,acaimp,-32.7817,150.9291,new,1,NSW_Yengo_N,140420
YG096,acaimp,-32.7817,150.9291,old,2,NSW_Yengo_N,140526
YG097,acaimp,-32.7817,150.9291,mid,2,NSW_Yengo_N,140526
YG098,acaimp,-32.7817,150.9291,new,2,NSW_Yengo_N,140526
YG095,acaimp,-32.7817,150.9291,sen,2,NSW_Yengo_N,140526
YG117,acaimp,-32.7817,150.9291,new,3,NSW_Yengo_N,140607
YG115,acaimp,-32.7817,150.9291,old,3,NSW_Yengo_N,140607
YG116,acaimp,-32.7817,150.9291,mid,3,NSW_Yengo_N,140607
YG114,acaimp,-32.7817,150.9291,sen,3,NSW_Yengo_N,140607
YG150,acaimp,-32.7817,150.9291,mid,4,NSW_Yengo_N,140608
YG151,acaimp,-32.7817,150.9291,new,4,NSW_Yengo_N,140608
YG149,acaimp,-32.7817,150.9291,old,4,NSW_Yengo_N,140608
YG148,acaimp,-32.7817,150.9291,sen,4,NSW_Yengo_N,140608
YG153,acaimp,-32.7817,150.9291,mid,5,NSW_Yengo_N,140609
YG152,acaimp,-32.7817,150.9291,old,5,NSW_Yengo_N,140609
YG154,acaimp,-32.7817,150.9291,new,5,NSW_Yengo_N,140609
QL216,acajul,-18.229,145.53618,old,3,QLD_Blencoe_Falls,150815
QL211,acajul,-18.229,145.53618,new,2,QLD_Blencoe_Falls,150815
QL214,acajul,-18.229,145.53618,new,3,QLD_Blencoe_Falls,150815
QL208,acajul,-18.229,145.53618,new,1,QLD_Blencoe_Falls,150815
QL212,acajul,-18.229,145.53618,mid,2,QLD_Blencoe_Falls,150815
QL213,acajul,-18.229,145.53618,old,2,QLD_Blencoe_Falls,150815
QL209,acajul,-18.229,145.53618,mid,1,QLD_Blencoe_Falls,150815
QL215,acajul,-18.229,145.53618,mid,3,QLD_Blencoe_Falls,150815
QL210,acajul,-18.229,145.53618,old,1,QLD_Blencoe_Falls,150815
QL219,acajul,-18.229,145.53618,sen,3,QLD_Blencoe_Falls,150815
QL217,acajul,-18.229,145.53618,sen,1,QLD_Blencoe_Falls,150815
QL218,acajul,-18.229,145.53618,sen,2,QLD_Blencoe_Falls,150815
KG032,acalon,-33.6933,151.14541,new,1,NSW_Kuringai_top,140603
KG031,acalon,-33.6933,151.14541,mid,1,NSW_Kuringai_top,140603
KG030,acalon,-33.6933,151.14541,old,1,NSW_Kuringai_top,140603
KG029,acalon,-33.6933,151.14541,sen,1,NSW_Kuringai_top,140603
KG043,acalon,-33.6933,151.14541,new,2,NSW_Kuringai_top,140604
KG042,acalon,-33.6933,151.14541,mid,2,NSW_Kuringai_top,140604
KG041,acalon,-33.6933,151.14541,old,2,NSW_Kuringai_top,140604
KG040,acalon,-33.6933,151.14541,sen,2,NSW_Kuringai_top,140604
KG090,acalon,-33.6933,151.14541,mid,3,NSW_Kuringai_top,140611
KG091,acalon,-33.6933,151.14541,new,3,NSW_Kuringai_top,140611
KG089,acalon,-33.6933,151.14541,old,3,NSW_Kuringai_top,140611
KG088,acalon,-33.6933,151.14541,sen,3,NSW_Kuringai_top,140611
T384,acalon,-42.84732,147.43592,new,1,TAS_Mt_Canopus,150312
T386,acalon,-42.84732,147.43592,old,1,TAS_Mt_Canopus,150312
T391,acalon,-42.84732,147.43592,old,2,TAS_Mt_Canopus,150312
T389,acalon,-42.84732,147.43592,new,2,TAS_Mt_Canopus,150312
T394,acalon,-42.84732,147.43592,mid,3,TAS_Mt_Canopus,150312
T390,acalon,-42.84732,147.43592,mid,2,TAS_Mt_Canopus,150312
T395,acalon,-42.84732,147.43592,old,3,TAS_Mt_Canopus,150312
T385,acalon,-42.84732,147.43592,mid,1,TAS_Mt_Canopus,150312
T393,acalon,-42.84732,147.43592,new,3,TAS_Mt_Canopus,150312
T396,acalon,-42.84732,147.43592,sen,3,TAS_Mt_Canopus,150312
T392,acalon,-42.84732,147.43592,sen,2,TAS_Mt_Canopus,150312
T387,acalon,-42.84732,147.43592,sen,1,TAS_Mt_Canopus,150312
QL072,acaman,-17.96665,145.96806,old,1,QLD_Mt_Mackay,150808
QL076,acaman,-17.96665,145.96806,old,2,QLD_Mt_Mackay,150808
QL071,acaman,-17.96665,145.96806,mid,1,QLD_Mt_Mackay,150808
QL078,acaman,-17.96665,145.96806,new,3,QLD_Mt_Mackay,150808
QL074,acaman,-17.96665,145.96806,new,2,QLD_Mt_Mackay,150808
QL079,acaman,-17.96665,145.96806,mid,3,QLD_Mt_Mackay,150808
QL070,acaman,-17.96665,145.96806,new,1,QLD_Mt_Mackay,150808
QL080,acaman,-17.96665,145.96806,old,3,QLD_Mt_Mackay,150808
QL075,acaman,-17.96665,145.96806,mid,2,QLD_Mt_Mackay,150808
QL081,acaman,-17.96665,145.96806,sen,3,QLD_Mt_Mackay,150808
