sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2
QL154,64.25021456,8826.884047
T335,73.10157456,27381.99477
QL310,54.36702955,13099.48771
QL130,93.47713484,23544.82223
QL416,37.3154053,10120.14898
QL403,48.27274863,16483.35064
QL138,67.17223137,11773.29042
T327,107.2949885,25687.45638
QL451,58.15501454,18155.11554
T051,112.0522705,31060.554
YG019,65.69741192,13346.15967
QL320,98.50106435,19030.38535
QL414,47.64337765,13429.2373
YG186,60.27612786,20004.3227
T337,48.19367411,20164.68289
T059,71.13122684,18206.51731
RH102,68.85338489,23579.80426
QL155,71.15975721,10687.76335
QL316,74.78759597,14521.95571
T154,61.70692512,20947.26538
QL239,83.23586141,17083.72509
QL148,115.0964878,17110.42732
KG118,78.047768,23118.85131
RH125,75.07914368,23416.0339
QL242,79.49567299,18571.00786
RH104,54.55969099,22842.91907
T217,83.97912475,28845.74587
QL311,48.29931807,13192.98734
T247,99.3324894,28169.70173
T226,82.79508125,23344.45315
RH120,101.0535139,18454.57382
QL410,49.6612773,14530.67097
QL326,52.43290169,12015.66584
YG168,58.16916233,18435.63387
QL174,76.7388789,16902.44673
T325,35.77730395,11055.98893
T147,67.39238504,22088.18691
T223,78.15378126,26678.55155
RH096,59.75755912,21944.41564
KG051,100.6822992,31514.12901
QL405,67.82094855,21845.36691
T381,94.73197589,23602.28192
T401,114.058721,27883.17379
QL156,47.43882283,7887.409639
RH064,43.75604794,18225.95173
RH119,75.19374334,25563.59683
YG128,161.3721233,31357.83181
YG085,161.4476576,21395.96394
YG086,92.75983128,15191.63117
YG129,126.3767108,24721.7194
YG125,132.5306395,35766.28817
YG120,167.9940873,35428.76262
YG127,96.55360665,25752.15539
YG123,100.7848931,23828.6535
YG124,87.91955478,21073.07918
YG137,98.40557885,26595.47627
YG084,117.6356163,15905.19485
T294,71.12022642,13639.90374
RH089,62.36240134,13174.33599
KG090,83.73269029,16309.29456
T141,34.7807602,10094.70194
T384,66.15233193,10543.18522
T144,43.17313408,13623.02009
T254,45.49596325,4864.143461
T386,88.74059344,20253.97523
QL216,47.31259675,7034.077725
RH085,55.83612625,13116.41457
T084,56.73230234,11434.68946
T069,93.59546679,13406.58591
YG062,119.5698315,13004.7118
YG094,71.42075895,8761.966692
KG047,55.54665281,13807.21541
YG141,77.32401088,11854.75817
QL072,81.68266166,11378.48037
T065,72.940773,8208.293289
QL390,51.47388387,12831.03349
RH021,32.78747759,13337.38668
QL126,56.11113572,8929.80508
T346,75.36071902,8653.883788
QL119,55.49196552,8251.470678
YG147,75.34439386,10444.72733
QL211,56.09632404,9567.12251
QL428,52.02193964,12104.38837
T303,54.40529046,13347.36877
QL214,46.02672049,9149.834501
QL076,71.88640056,8777.101572
KG091,76.97244089,9623.419783
T257,45.74324686,5013.423147
T391,81.78653797,17708.78711
T305,45.67839598,6608.170473
YG146,91.53803161,13091.26943
RH015,33.79251441,11681.70748
T304,60.64955035,8507.453446
T088,94.25249661,12903.89552
RH014,48.74829841,14379.26815
QL052,75.63251818,12437.3778
YG117,85.39762845,10140.93762
T134,80.94644743,20342.20198
T067,91.15237803,10093.53926
T133,84.35644282,19988.60926
T087,55.32895905,13287.18851
YG105,88.03066986,13002.62409
QL389,111.840282,26051.78406
