sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2,percent_ovalb_of_total_protein
T242,69.60057582,22852.49611,0.108620963
KG133,48.94432283,7920.427793,0.31478958
T332,52.21696092,20593.88826,0.12204187
YG017,89.7553052,11776.09544,0.211703396
RH061,40.23081752,14874.54876,0.168087234
QL135,61.3858607,11197.19682,0.2232707
YG077,57.98340805,12139.55984,0.205736485
KG083,65.24567992,21144.90641,0.118947013
YG070,51.02660492,13571.88782,0.184830168
T398,82.78884045,19518.99927,0.128957473
YG187,43.21607578,16343.71459,0.152065715
KG142,56.39926806,14828.74719,0.168281725
KG101,52.32914987,14440.33779,0.174124643
QL318,73.5648466,14289.52841,0.174189389
QL328,50.8514163,11741.19451,0.213132868
QL321,77.77631483,14662.05809,0.171194724
QL185,76.52414282,16274.66507,0.153222005
RH011,58.70654156,18825.93084,0.13331048
YG054,39.28402255,10472.26546,0.239131918
T222,79.42643735,24214.84045,0.102494285
QL238,82.24224232,18360.93838,0.136667393
KG082,74.18735649,25138.06869,0.099635139
T241,153.8011957,28321.08676,0.088973104
KG105,56.26710848,16688.38079,0.150733753
T405,92.88814418,17826.06933,0.140324638
KG123,56.223849,11844.25079,0.211129661
QL228,109.8556634,25902.71062,0.096783287
T339,70.83550771,25770.84484,0.097790763
QL106,102.8200867,12336.93869,0.202253355
RH122,57.46549238,19026.28099,0.130490079
T249,63.42774157,15037.02294,0.166697343
T218,71.06176066,24237.17096,0.103528633
T373,153.4462867,25608.4668,0.097916653
T328,100.6234098,25379.57181,0.098249229
RH124,57.96601522,19300.57268,0.129023997
QL449,62.55434527,14500.44612,0.172393998
T319,97.88531481,15853.25962,0.158314603
KG078,54.13034536,14415.96196,0.17212387
QL454,76.10146943,16944.91457,0.147154753
T019,41.91442194,15521.9829,0.161120949
T225,81.56073866,26429.90663,0.094442981
YG080,55.82527559,14983.96888,0.165990483
YG044,61.44513517,16081.16719,0.155265705
QL232,85.26203872,17596.28272,0.141327394
QL237,46.61836158,12009.39425,0.207961831
YG076,116.8382929,19027.74663,0.131193217
RH118,86.85555479,16043.47792,0.156548921
YG071,76.31848926,18587.78803,0.134467464
RH005,71.15746755,13444.89167,0.186871555
KG138,53.8131786,16928.34654,0.148347663
YG043,91.96060882,13578.89955,0.183393786
T246,82.54596679,24009.81541,0.103276042
YG021,79.06460497,22749.25016,0.109598969
KG122,45.87866206,10379.94136,0.241142837
QL153,35.23328031,7241.840518,0.346411727
T227,83.65686885,23684.1536,0.105514761
T406,75.6856616,19856.21358,0.12628031
YG081,79.36399539,12941.44804,0.192498689
RH123,88.05996941,20699.19066,0.121363084
T055,71.66609732,19205.29516,0.129765744
YG030,50.05692548,9134.167458,0.273697632
RH099,51.50569281,11114.17703,0.225226718
QL325,58.77795843,11433.24499,0.219198663
RH002,83.21738124,21842.23301,0.114253857
KG134,64.73404507,21000.56852,0.118090452
T058,80.93170451,21185.56813,0.118565672
T374,57.24700837,15142.01415,0.163849894
QL452,42.89848127,12413.37224,0.200568034
T018,66.80859043,23541.97806,0.106783625
QL171,73.45197067,10978.92702,0.228172144
QL411,55.46736029,16084.60576,0.154655836
QL236,73.29953308,15630.42163,0.159791566
T013,92.78996097,22664.63052,0.110255022
QL139,115.4852095,15635.02965,0.1601496
QL146,123.3149595,16122.79702,0.155265399
T155,55.06919775,19173.12429,0.130455466
QL397,48.69521448,14844.69128,0.169125131
QL231,67.30859355,15070.13379,0.165554514
YG188,46.18192004,18102.00568,0.137041091
T014,50.6151701,16309.91428,0.153093704
QL131,69.80686383,15696.44623,0.158775283
YG075,53.62002808,13387.94955,0.186897484
YG020,82.23146715,11766.57343,0.212820766
QL150,65.09962189,11498.41812,0.217075452
QL400,42.23714999,14360.45374,0.173409747
QL241,62.18169409,14500.90067,0.171280742
RH059,67.93123164,26502.07409,0.094845076
RH103,60.25474297,26597.82,0.094276959
QL450,58.589057,14327.3814,0.174910901
QL401,42.30019872,15229.57131,0.163403951
QL327,36.5378587,7824.309876,0.320457081
QL406,46.57041871,13381.8491,0.187014885
T403,46.81982652,13907.39567,0.180561342
T321,65.25365374,14658.2419,0.170534514
T323,69.61730292,17530.18627,0.142681231
T320,63.13068525,14215.56736,0.17605573
T015,51.43708156,17119.7142,0.145314685
QL149,88.85093888,11715.99935,0.214171836
QL407,33.11605834,9323.571935,0.266747811
KG036,45.27561362,11716.39022,0.212936723
RH007,73.20116796,19695.67173,0.127528217
YG022,37.87614789,12588.3429,0.198129728
QL170,71.55563149,13744.69052,0.181413933
QL140,113.0663903,13219.24371,0.189529871
T333,31.88847995,13440.7893,0.185214105
QL133,65.67629753,15013.94123,0.166800645
T158,29.95516267,13038.69279,0.192009669
QL172,67.46813546,10775.87341,0.23292939
KG117,38.37472662,13373.71341,0.18696141
QL309,42.5344339,9752.949605,0.256307876
QL110,91.16801176,17627.87755,0.142237044
T165,43.64988389,13729.63763,0.183402635
RH057,43.98051817,16569.10798,0.15056041
T251,60.7487267,17996.65843,0.138920878
QL243,43.16006891,10445.85447,0.238396758
T145,74.3897021,18125.44738,0.137338672
QL240,59.02849294,13819.45919,0.180356758
QL412,58.77690873,18098.21068,0.137371464
T159,36.16500996,14413.66077,0.173553937
QL227,85.80204191,17233.32448,0.144654664
QL114,120.6200329,12797.92457,0.196097581
QL315,75.56058274,13783.63656,0.181955129
YG018,56.82922588,12769.15146,0.195816472
QL147,44.10229777,4900.870664,0.509909133
QL152,59.36841347,7880.101219,0.318005113
T050,38.89940357,13799.63487,0.181957585
QL455,68.98733875,15326.45153,0.163593883
T049,84.07672585,16691.20613,0.150231348
QL319,65.13508018,15208.86433,0.163467699
T167,31.50269529,10512.71506,0.239678147
T150,55.26273396,21488.51524,0.116528752
QL144,96.75400688,11355.91107,0.220611857
RH055,87.44873923,26635.18237,0.094016998
QL112,68.66718321,10694.32911,0.233828441
KG135,58.17189228,14187.90079,0.175427595
QL235,70.042531,15958.43424,0.156818155
QL108,57.91255804,9051.750737,0.275774792
T250,108.6375287,29771.67575,0.08425144
QL154,64.25021456,8826.884047,0.282344361
T335,73.10157456,27381.99477,0.092107633
QL310,54.36702955,13099.48771,0.190045236
QL130,93.47713484,23544.82223,0.106093604
QL416,37.3154053,10120.14898,0.248307822
QL403,48.27274863,16483.35064,0.150798452
QL138,67.17223137,11773.29042,0.212766706
T327,107.2949885,25687.45638,0.096746924
QL451,58.15501454,18155.11554,0.137581767
T051,112.0522705,31060.554,0.081000412
YG019,65.69741192,13346.15967,0.186986358
QL320,98.50106435,19030.38535,0.131444533
QL414,47.64337765,13429.2373,0.186240414
YG186,60.27612786,20004.3227,0.125486858
T337,48.19367411,20164.68289,0.124818228
T059,71.13122684,18206.51731,0.137567405
RH102,68.85338489,23579.80426,0.105395402
QL155,71.15975721,10687.76335,0.234877414
QL316,74.78759597,14521.95571,0.172250246
T154,61.70692512,20947.26538,0.118283753
QL239,83.23586141,17083.72509,0.146881016
QL148,115.0964878,17110.42732,0.14629822
