sample,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,umol_Cl_a_per_m2,umol_Cl_b_per_m2,umol_Cl_total_per_m2
QL220,,,,,,
QL221,,,,,,
QL222,,,,,,
QL223,,,,,,
QL224,,,,,,
QL225,,,,,,
QL226,1417.318864,266.5209131,1683.839777,1585.367856,298.1218267,1883.489683
QL227,2629.237022,569.2370128,3198.474035,2940.981009,636.7304394,3577.711449
QL228,1152.659845,225.572954,1378.232799,1289.328686,252.3187405,1541.647426
QL229,2061.102659,430.0882924,2491.190951,2305.483958,481.0831012,2786.567059
QL230,1342.846211,286.0495813,1628.895793,1502.065113,319.9659746,1822.031088
QL231,1706.953488,343.5008021,2050.454291,1909.343947,384.2290851,2293.573032
QL232,1882.082505,383.6198687,2265.702373,2105.237701,429.1049986,2534.342699
QL233,1530.279085,328.2657277,1858.544812,1711.721571,367.1876148,2078.909186
QL234,1904.673648,421.9996949,2326.673343,2130.507437,472.0354529,2602.54289
QL235,1197.207089,203.6844317,1400.891521,1339.157817,227.8349348,1566.992752
QL236,1824.927998,336.7660086,2161.694006,2041.306485,376.695759,2418.002244
QL237,879.4389006,160.6148965,1040.053797,983.7124168,179.6587209,1163.371138
QL238,1326.248139,248.0869902,1574.335129,1483.499037,277.5022262,1761.001263
QL239,1618.426901,305.3152924,1923.742193,1810.320918,341.5159871,2151.836905
QL240,1427.544979,277.0485873,1704.593566,1596.806464,309.8977487,1906.704213
QL241,523.3427971,88.90275617,612.2455532,585.3946276,99.44379885,684.8384264
QL242,1529.936455,291.0128847,1820.94934,1711.338317,325.5177681,2036.856085
QL243,1290.691248,254.0700764,1544.761324,1443.726228,284.1947164,1727.920944
QL244,,,,,,
QL245,,,,,,
QL246,,,,,,
QL247,,,,,,
QL248,,,,,,
QL249,,,,,,
QL250,,,,,,
QL251,,,,,,
QL252,,,,,,
QL253,,,,,,
QL254,,,,,,
QL255,,,,,,
QL256,,,,,,
QL257,,,,,,
QL258,,,,,,
QL259,,,,,,
QL260,,,,,,
QL261,,,,,,
QL262,,,,,,
QL263,,,,,,
QL264,,,,,,
QL265,,,,,,
QL266,,,,,,
QL267,,,,,,
QL268,,,,,,
QL269,,,,,,
QL270,,,,,,
QL271,,,,,,
QL272,,,,,,
QL273,,,,,,
QL274,,,,,,
QL275,,,,,,
QL276,,,,,,
QL277,,,,,,
QL278,,,,,,
QL279,,,,,,
QL280,,,,,,
QL281,,,,,,
QL282,,,,,,
QL283,,,,,,
QL284,,,,,,
QL285,,,,,,
QL286,,,,,,
QL287,,,,,,
QL288,,,,,,
QL289,,,,,,
QL290,,,,,,
QL291,,,,,,
QL292,,,,,,
QL293,,,,,,
QL294,,,,,,
QL295,,,,,,
QL296,,,,,,
QL297,,,,,,
QL298,,,,,,
QL299,,,,,,
QL300,,,,,,
QL301,,,,,,
QL302,,,,,,
QL303,,,,,,
QL304,911.1277405,153.7227338,1064.850474,1019.158546,171.9493666,1191.107913
QL305,1364.287041,265.9519306,1630.238972,1526.048145,297.485381,1823.533526
QL306,862.5229477,154.1498697,1016.672817,964.7907693,172.4271474,1137.217917
QL307,957.4351282,183.481891,1140.917019,1070.956519,205.2370146,1276.193534
QL308,1048.136089,212.1119063,1260.247995,1172.411733,237.2616401,1409.673373
QL309,649.796713,130.1166058,779.9133188,726.8419608,145.5443018,872.3862627
QL310,507.9278647,103.1333566,611.0612213,568.151974,115.3616964,683.5136704
QL311,780.1004452,153.7161867,933.8166319,872.5955763,171.9420433,1044.53762
QL312,525.4292811,112.9001843,638.3294654,587.7285024,126.2865596,714.015062
QL313,1237.225386,212.0798317,1449.305218,1383.921014,237.2257626,1621.146776
QL314,1789.3586,315.8663659,2105.224966,2001.519687,353.3180826,2354.83777
QL315,1226.437431,227.6811142,1454.118545,1371.853949,254.6768615,1626.530811
QL316,2109.648183,385.0727504,2494.720933,2359.78544,430.7301459,2790.515586
QL317,1851.51031,324.7534737,2176.263783,2071.040615,363.2589192,2434.299534
QL318,1145.876856,181.2955931,1327.172449,1281.74145,202.7914912,1484.532941
QL319,497.8621505,81.10103816,578.9631886,556.8927857,90.71704492,647.6098307
QL320,1593.041378,281.9335938,1874.974971,1781.925478,315.3619617,2097.28744
QL321,1475.219275,234.304504,1709.523779,1650.133418,262.0855749,1912.218993
QL322,,,,,,
QL323,,,,,,
QL324,,,,,,
QL325,668.6138696,116.5252537,785.1391234,747.8902345,130.3414471,878.2316816
QL326,238.131497,35.49409404,273.625591,266.3663277,39.70256604,306.0688938
QL327,305.4142099,50.17238275,355.5865927,341.626633,56.12123351,397.7478665
QL328,743.9907137,97.53702,841.5277337,832.2043777,109.1018121,941.3061898
QL329,638.9317127,110.6792964,749.6110091,714.6887166,123.802345,838.4910616
QL330,353.8510028,52.48799802,406.3390008,395.8064908,58.71140718,454.517898
QL331,284.1198053,49.34399234,333.4637976,317.8073885,55.1946223,373.0020108
QL332,228.8834218,46.09659766,274.9800195,256.0217247,51.56218978,307.5839144
QL333,221.6376592,50.00316819,271.6408274,247.9168447,55.93195547,303.8488002
QL334,,,,,,
QL335,,,,,,
QL336,,,,,,
QL337,,,,,,
QL338,,,,,,
QL339,,,,,,
QL340,,,,,,
QL341,,,,,,
QL342,,,,,,
QL343,,,,,,
QL344,,,,,,
QL345,,,,,,
QL346,,,,,,
QL347,,,,,,
QL348,,,,,,
QL349,,,,,,
QL350,,,,,,
QL351,,,,,,
QL352,,,,,,
QL353,,,,,,
QL354,,,,,,
QL355,,,,,,
QL356,,,,,,
