variable,full name,unit of measurement,description,data source,URL
sample,,,,,
site_revised,Sampling site,,Name of site,,
soil_C,Soil carbon (C) content,%,Measured by lab assay,,
soil_N,Soil nitrogen (N) content,%,Measured by lab assay,,
soil_P,Soil phosphorus (P) content,%,Measured by lab assay,,
soil_S,Soil sulphur (S) content,%,Measured by lab assay,,
species,Species name,,,,
tavg,Mean annual temperature,oC,"Derived as an average of minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.0,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
tavg_recent_month,Mean maximum temperature of recent month,oC,"Mean daily temperature for month immediately prior to sampling, derived as average of min and max daily temperatures",Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/temperature/maxave/daily/grid/0.05/history/nat/ ; http://www.bom.gov.au/web03/ncc/www/awap/temperature/minave/daily/grid/0.05/history/nat/
tavg_recent_year,Mean maximum temperature of recent year,oC,"Mean daily temperature for year immediately prior to sampling, derived as average of min and max daily temperatures",Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/temperature/maxave/daily/grid/0.05/history/nat/ ; http://www.bom.gov.au/web03/ncc/www/awap/temperature/minave/daily/grid/0.05/history/nat/
tcld,Mean Temperature of Coldest Quarter,oC,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.10,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
tdry,Mean Temperature of Driest Quarter,oC,"Derived from monthly mean precipitation and minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.8,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
