sample_number,species_field,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
QL121,acafla,acafla,-18.43758,146.13636,sen,1,QLD_Cardwell_S,150809
QL123,acafla,acafla,-18.43758,146.13636,mid,2,QLD_Cardwell_S,150809
QL122,acafla,acafla,-18.43758,146.13636,new,2,QLD_Cardwell_S,150809
QL124,acafla,acafla,-18.43758,146.13636,old,2,QLD_Cardwell_S,150809
QL125,acafla,acafla,-18.43758,146.13636,sen,2,QLD_Cardwell_S,150809
QL127,acafla,acafla,-18.43758,146.13636,mid,3,QLD_Cardwell_S,150809
QL126,acafla,acafla,-18.43758,146.13636,new,3,QLD_Cardwell_S,150809
QL128,acafla,acafla,-18.43758,146.13636,old,3,QLD_Cardwell_S,150809
QL129,acafla,acafla,-18.43758,146.13636,sen,3,QLD_Cardwell_S,150809
T363,acagen,acagen,-43.0403,147.94647,mid,1,TAS_Tasman_Peninsula,150312
T362,acagen,acagen,-43.0403,147.94647,new,1,TAS_Tasman_Peninsula,150312
T364,acagen,acagen,-43.0403,147.94647,old,1,TAS_Tasman_Peninsula,150312
T365,acagen,acagen,-43.0403,147.94647,sen,1,TAS_Tasman_Peninsula,150312
T367,acagen,acagen,-43.0403,147.94647,mid,2,TAS_Tasman_Peninsula,150312
T366,acagen,acagen,-43.0403,147.94647,new,2,TAS_Tasman_Peninsula,150312
T368,acagen,acagen,-43.0403,147.94647,old,2,TAS_Tasman_Peninsula,150312
T370,acagen,acagen,-43.0403,147.94647,mid,3,TAS_Tasman_Peninsula,150312
T369,acagen,acagen,-43.0403,147.94647,new,3,TAS_Tasman_Peninsula,150312
T371,acagen,acagen,-43.0403,147.94647,old,3,TAS_Tasman_Peninsula,150312
QL419,acahem,acahem,-19.04745,138.8575,mid,1,QLD_Lawn_Hill,150825
QL418,acahem,acahem,-19.04745,138.8575,new,1,QLD_Lawn_Hill,150825
QL420,acahem,acahem,-19.04745,138.8575,old,1,QLD_Lawn_Hill,150825
QL421,acahem,acahem,-19.04745,138.8575,sen,1,QLD_Lawn_Hill,150825
QL423,acahem,acahem,-19.04745,138.8575,mid,2,QLD_Lawn_Hill,150825
QL422,acahem,acahem,-19.04745,138.8575,new,2,QLD_Lawn_Hill,150825
QL424,acahem,acahem,-19.04745,138.8575,old,2,QLD_Lawn_Hill,150825
QL425,acahem,acahem,-19.04745,138.8575,sen,2,QLD_Lawn_Hill,150825
QL427,acahem,acahem,-19.04745,138.8575,mid,3,QLD_Lawn_Hill,150825
