sample,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,PARi,PARo
QL131,28.62116595,0.324473961,1599.902312,3.696583127,1.271021772,25.93333054,6,1820.884521,1790.636108,17.43750381,20.54525757,61.27142334,72.1913681,1499.880859,0.178122506
QL131,17.67326438,0.272681884,265.5502563,2.915956892,1.171016033,25.99584579,6,400.9275513,384.7952881,19.19933319,21.64795685,68.33909607,77.05485535,1499.610352,0.097465552
QL130,4.165938842,0.039859336,218.2025227,0.652905391,1.647381801,26.82102013,6,401.125946,395.8146973,17.84917259,18.61836243,63.0147934,65.73034668,1499.873169,0.241984352
QL130,20.11950339,0.044091175,991.6838646,0.687214292,1.570643022,26.45437431,6,1793.097168,1767.485352,17.81971931,18.62935638,64.05719757,66.96763611,1500.056396,0.089621633
QL132,15.83905072,0.424669606,310.4231317,4.393402385,1.194820139,25.5175209,6,400.215271,385.1644592,16.79617119,20.4906826,59.87281799,73.04253387,1501.252808,0.20612973
QL132,20.31704671,0.519417975,1691.789694,4.881651695,1.120655626,24.96191597,6,1821.015015,1796.050415,16.06687355,20.17246628,58.67703629,73.67086792,1501.30481,0.182598174
QL134,1.035353305,0.019808242,303.9531332,0.355870203,1.796486526,26.01356697,6,400.0647583,398.2983398,15.01416016,15.53990078,55.3434906,57.28141403,1499.273926,0.058253836
QL134,6.845373295,0.019074363,1191.377001,0.327784056,1.718154825,25.72758102,6,1821.952393,1810.787598,15.2684164,15.75262547,56.68032837,58.47783661,1499.606567,0.097462602
QL133,0.204081072,0.016288956,367.986639,0.28734029,1.761404238,25.96138573,6,399.5038147,399.0253601,15.35786247,15.7823801,56.48846817,58.04990387,1500.320557,0.266629189
QL133,4.430188418,0.016066243,1325.953954,0.288445491,1.792388985,26.06840134,6,1822.310547,1814.874634,15.26212692,15.68831635,55.98162079,57.54488754,1500.65979,0.282295913
QL135,3.371267814,0.041430842,254.7064186,0.655107959,1.593817312,25.67190742,6,400.4886475,395.0401001,15.90105629,16.86775589,58.6659317,62.23250961,1498.939453,0.192685053
QL135,15.56810237,0.049904389,1244.699525,0.828686788,1.675528342,26.93407631,6,1818.807373,1793.209106,17.36181641,18.5825634,60.46562195,64.71709442,1499.949585,0.028005863
QL137,6.893103299,0.084860916,247.47892,1.380127217,1.662543118,27.04737854,6,400.8186035,389.6641235,16.9115696,18.94402695,58.11616135,65.10064697,1500.594604,0.220688537
QL137,17.86596777,0.088540165,1409.760348,1.424818668,1.647542263,26.9468174,6,1815.167847,1784.533081,16.78570175,18.88406754,57.84419632,65.07524872,1499.678589,0.061613411
QL136,9.528355288,0.11454768,239.6717443,1.705095752,1.538244054,26.91638947,6,400.8942871,385.6025085,17.38692093,19.89581299,60.02784729,68.68972778,1500.014038,0.17476055
QL136,23.3288636,0.117860959,1407.869475,1.758641896,1.544138526,26.8516922,6,1816.293335,1776.584229,17.11679459,19.7046833,59.10480881,68.04086304,1499.959717,0.119868904
QL138,3.28582156,0.053658507,285.9021139,0.899836507,1.695551356,26.71766853,6,400.404541,394.9387512,16.61506081,17.94156647,57.60159683,62.20036316,1499.558716,0.146749586
QL138,15.58801469,0.054864492,1284.208854,0.89056218,1.642682595,26.38538551,6,1813.569092,1787.77832,16.47666931,17.78979492,58.17407227,62.81031799,1501.059204,0.021285081
QL167,8.998670962,0.249711454,318.6913016,3.750815295,1.635251938,25.98060036,6,399.3717346,390.4062195,13.89698124,17.05615044,48.53473282,59.56802368,1500.689575,0.112023652
QL167,15.44444508,0.246426233,1625.32828,3.653564519,1.612075732,25.91129112,6,1796.375244,1777.578003,14.07328033,17.14996147,49.35826111,60.14889145,1500.259888,0.100823306
QL166,16.05841965,0.302956771,282.4371426,4.575714379,1.674965493,26.35255814,6,399.995636,384.7328186,13.54679966,17.39796066,45.26947021,58.13893127,1499.826416,0.176997423
QL166,26.08123046,0.301181061,1570.163184,4.419504173,1.626470997,26.11949921,6,1794.85498,1765.80957,13.69156551,17.41386414,47.29301071,60.15047073,1499.003052,0.078414015
QL168,3.82458545,0.072926608,299.1670001,1.353555195,1.893904545,26.40436363,6,399.4342957,395.6975403,14.21341991,15.35562801,49.82678604,53.8309288,1500.209351,0.048172146
QL168,9.340770177,0.106633731,1595.391697,1.919596768,1.859497585,26.53742981,6,1802.01416,1791.065063,14.34397793,15.96245575,49.89861298,55.5288353,1499.790039,0.267750323
QL177,13.92238569,0.407109176,316.0053631,4.751137993,1.341274974,25.27119064,6,399.1345215,385.6288147,14.58860683,18.58585358,50.14820862,63.88871384,1499.243774,0.073936403
QL177,22.09987545,0.401131738,1662.074835,4.640878189,1.327180002,25.13320732,6,1824.501953,1798.402954,14.56064892,18.46544838,50.40751648,63.92554474,1499.175781,0.178125799
QL176,16.11585001,0.417539893,305.8259258,5.075340805,1.401266678,25.71886635,6,399.3501587,383.8641968,14.58127785,18.85024261,50.22856522,64.93399811,1499.871338,0.022404384
QL176,26.69457086,0.420825495,1640.556769,5.112186165,1.401892864,25.72625732,6,1825.205688,1794.447876,14.5579958,18.85914803,50.05243683,64.8404007,1499.721802,0.160193682
QL178,12.00867392,0.362563942,319.8077759,4.730471987,1.475556322,25.98988152,6,399.3880615,387.5184631,14.67296028,18.65375328,50.41137314,64.08804321,1499.907837,0.129947901
QL178,17.79062343,0.359280715,1647.889137,4.737147323,1.489158568,26.1023941,6,1799.604126,1777.128052,14.75601578,18.74229431,50.2478447,63.82209778,1500.521118,0.300220788
QL181,14.38244829,0.470559471,320.8759778,5.400980665,1.345629363,25.68289185,6,399.1058044,384.991333,14.79817295,19.33946228,50.85036087,66.45541382,1498.914551,0.240854532
QL181,20.82075609,0.468692825,1653.834826,5.219825059,1.305282705,25.36640739,6,1797.174194,1771.380249,14.73942089,19.13173676,51.59886169,66.9752121,1500.512939,0.123227566
QL180,14.31301578,0.408756057,313.7205177,5.13809746,1.443424707,26.08745575,6,399.3832397,385.4110718,14.84193802,19.16362953,50.24669647,64.87757874,1499.123901,0.06833633
QL180,19.13828411,0.406445586,1650.220168,5.093644125,1.437934657,26.02795601,6,1798.99939,1774.831421,14.81713009,19.10234261,50.2558136,64.79013062,1501.283203,0.087378256
QL182,9.088521632,0.321517666,331.3832003,4.150153604,1.439551532,25.56114197,6,398.9152832,389.7312622,14.6887331,18.18416786,51.51975632,63.77975845,1500.648193,0.218448102
QL182,15.93979662,0.331667256,1652.531622,4.365744755,1.472683363,25.76225281,6,1798.440918,1778.110596,14.57189655,18.24817848,50.54230881,63.29341507,1499.050537,0.023524795
QL236,0.397428281,0.021300476,358.4449475,0.350832469,1.550578893,25.29794693,6,399.6334229,398.5568848,16.9041214,17.59474182,64.04263306,66.65911102,1499.205322,0.090735644
QL236,3.754568109,0.019435247,1471.939233,0.299916968,1.454036488,24.19750214,6,1832.619995,1823.99939,15.86366367,16.45481873,62.97612381,65.32290649,1500.827637,0.041447323
QL235,2.769813262,0.033729667,253.4981882,0.52966105,1.483545667,25.76384544,6,400.5753784,394.6054077,18.19978333,19.24087334,64.01553345,67.67744446,1499.782227,0.236367807
QL235,12.85892728,0.03532551,1180.573473,0.502361054,1.346161613,24.71949768,6,1831.82959,1804.245117,17.59532928,18.58330917,65.48718262,69.16429901,1499.869263,0.092977777
QL237,3.587473934,0.054901393,279.386974,0.856079273,1.48920542,24.30219078,4.3,400.0573425,394.420105,15.08014965,16.28961563,52.03813934,56.21172714,1499.48645,0.388713121
QL237,14.24849114,0.054389312,1313.60043,0.917022862,1.608068134,25.14117432,4.3,1805.730835,1782.920898,15.39211845,16.68706131,53.56393433,58.07027817,1499.385254,0.238606274
QL239,11.43797558,0.121009458,219.9992078,1.723877912,1.393768655,25.04432487,5.5,401.1806641,384.532959,16.38197136,18.70921707,50.03904343,57.14765549,1500.085815,0.058253091
QL239,23.37866016,0.127739085,1457.225612,1.781256674,1.367932111,24.90059662,5.5,1837.056641,1800.483398,16.29024887,18.69485855,49.75971222,57.10475922,1500.999878,0.091855966
QL238,10.51076746,0.100274769,208.0627582,1.311576491,1.270953155,24.33067894,4.6,400.5290527,387.8529663,17.11841202,18.59910393,56.71619415,61.62197876,1499.90332,0.052651174
QL238,28.11444894,0.143218648,1452.769839,1.814078726,1.250430293,24.28886986,4.6,1852.782471,1816.645142,16.68862152,18.73662186,52.01826096,58.40185547,1500.374268,0.234129012
QL240,1.535508549,0.020701879,279.7450699,0.354478752,1.613534782,25.26143074,6,411.2627869,408.7405396,16.32863235,16.85173225,49.46446228,51.04909515,1499.719849,0.160191804
QL240,18.1559849,0.036010724,1049.099722,0.514018463,1.350613594,25.34334373,6,1937.942871,1899.601685,18.75268173,19.76241302,62.51579666,65.88193512,1500.487793,0.201639459
QL242,8.610705295,0.078082647,195.6399983,0.973177829,1.198195752,24.97425461,6,400.6145325,382.614624,18.70929146,20.61910057,66.40756226,73.18632507,1499.108643,0.247575819
QL242,27.24614291,0.070342172,1082.502072,0.919010448,1.251973224,25.24681473,6,1804.931519,1747.117188,18.79683304,20.6004467,66.17615509,72.52596283,1498.821533,0.2397286
QL241,10.40255006,0.099664616,200.4694769,1.288029707,1.251209814,25.73760605,5.6,399.6113281,379.2397461,19.2430954,21.60030556,64.47771454,72.37600708,1500.521118,0.12322484
QL241,21.35648522,0.096709973,1337.76207,1.126902412,1.12826691,24.79283714,5.6,1775.675049,1732.081299,18.92622185,20.98963356,67.25492859,74.58733368,1501.084351,0.236366943
QL243,9.299968141,0.136544558,260.448506,1.611873253,1.158909349,25.30571938,6,400.6080322,380.740509,18.53113937,21.69134903,64.75946808,75.80323029,1500.441406,0.249811605
QL243,16.69826044,0.176167721,1569.470754,2.001754956,1.13136192,25.41550636,6,1802.685303,1762.151245,18.28020287,22.20283127,63.62605286,77.27915192,1499.90271,0.203887492
QL257,6.412985295,0.067166125,223.360722,1.162310138,1.630599836,24.53634453,6,401.9754639,388.2224426,13.24792671,15.54051876,45.32144165,53.16444778,1498.456055,0.161296353
QL257,29.56923136,0.085562771,1207.754009,1.488521025,1.648978387,25.06701851,6,1884.54541,1819.884155,13.47183132,16.40479469,45.44078445,55.33373642,1499.930786,0.217308789
QL256,8.896368855,0.074599879,180.2169172,1.275524867,1.614351141,25.0032959,6,402.5032043,383.6987915,14.1262455,16.63923645,45.97717667,54.15629578,1499.328247,0.171382561
QL256,26.44502371,0.042402492,1261.208945,0.780631559,1.718681932,24.69225311,6,2383.456055,2326.845703,13.37144089,14.91180325,45.66389465,50.92428589,1500.92688,0.319245577
QL258,9.213469581,0.13229978,257.2032319,2.118667971,1.543086271,25.27503014,6,402.2014465,382.1205444,13.78614044,17.95461845,46.08059692,60.0138588,1499.15979,0.092969753
QL258,19.04791559,0.114048934,1435.409535,1.919339307,1.610460563,25.4735527,6,1802.386597,1757.472534,13.87001324,17.64699364,46.38724899,59.01908493,1501.081299,0.020163206
QL261,6.313732293,0.060840925,211.3251599,1.01158069,1.562203343,24.41879272,6,402.3349609,388.8948059,14.04728889,16.04183769,51.52216339,58.83769608,1498.940674,0.154582009
QL261,29.71611029,0.08795195,1215.744758,1.422675355,1.534648302,24.62857437,6,1877.309692,1812.603394,13.9448719,16.74761963,50.73821259,60.93597031,1500.735596,0.174745366
QL260,15.90658561,0.213182223,234.3434031,2.934540788,1.364587664,25.40658569,6,403.4146118,369.3763428,14.36136246,20.12202644,50.47255325,70.71822357,1499.704224,0.112016395
QL260,34.72344946,0.229567615,1418.358107,3.098497239,1.34584428,25.37520981,6,1795.655029,1715.418823,14.17343521,20.25694275,51.12163162,73.06400299,1501.312012,0.23187162
QL262,10.89637545,0.160028176,256.2572728,2.197350995,1.337400541,24.37602615,6,401.89151,378.3874207,14.02675056,18.34972,51.10907745,66.86061859,1499.034424,0.226281255
QL262,28.84048327,0.095964111,1208.739554,1.529886081,1.516444134,24.73210144,6,1807.059326,1743.920654,14.13524151,17.14835167,51.57209015,62.56534958,1500.522339,0.134422913
QL265,25.35082868,0.042349656,1008.873936,0.818841583,1.803071934,25.06476784,6,2081.989014,2027.873535,13.15560818,14.77187157,46.33308411,52.02544785,1500.376343,0.106412604
QL265,4.382991017,0.043228111,218.4412527,0.812134527,1.752975634,24.76541519,6,401.7507935,392.3306274,13.10199165,14.70525742,46.43089294,52.11255646,1501.33374,0.280033648
QL264,11.05794193,0.112654977,207.421274,1.646535579,1.400256326,23.97737122,6,400.8991089,377.4977417,13.66935062,16.91259766,50.61236572,62.62086868,1499.986816,0.299087584
QL264,30.20957427,0.098323471,1225.301284,1.626778657,1.575214479,24.83982468,6,1840.41687,1774.096436,13.53425884,16.73959541,47.38058853,58.60179901,1499.703613,0.145621628
QL266,14.66781285,0.046407635,1282.936913,0.875059819,1.760785819,24.98776436,6,1877.031982,1844.410889,13.34109879,15.06789303,46.50914764,52.5290184,1499.612183,0.182584107
QL266,0.969258725,0.039112818,347.1780791,0.834594574,1.984483631,26.15476608,6,402.8856506,400.2739258,13.46562862,15.11279202,46.43069839,52.11026764,2221.855713,0.26099968
QL266,9.040552893,0.060257516,1754.147842,1.123360501,1.748295569,25.47328568,6,2079.712402,2057.032471,13.98295307,16.191082,48.25454712,55.87469864,1500.332153,0.140021041
QL314,24.79069657,0.056000627,1020.59977,0.883023276,1.486376419,25.15025139,5.1,1805.048096,1778.152222,17.29637146,18.18093681,51.83556366,54.48652267,1498.647095,0.13106291
QL314,4.60025301,0.024424788,87.57919253,0.276083419,1.051263602,24.59880638,5.1,403.7990112,395.8015442,21.2213192,21.67998505,67.3445816,68.80012512,1500.497559,0.178106263
QL313,16.22440852,0.221529448,256.5702164,2.718649525,1.231128104,24.03939247,4,403.0876465,389.2585754,16.56505775,18.69976044,51.07859039,57.66097641,1499.737549,0.165787935
QL313,28.75186374,0.177019223,1466.413221,2.383941001,1.328600163,24.5951519,4,1805.135864,1778.735229,16.87204361,18.74393272,51.32186127,57.01582718,1500.158325,0.054889563
QL344,22.45635319,0.116193385,1467.548437,1.308251518,1.151701114,25.69966125,6,1844.413086,1819.57312,20.22544289,21.50572205,72.94506836,77.56253052,1498.848511,0.211721331
QL344,10.56097286,0.124209818,241.9778565,1.403152797,1.158835316,25.77709389,6,400.7336121,389.6243896,20.2136898,21.58674431,72.78125763,77.72506714,1501.470581,0.308064401
QL343,22.9874125,0.110608889,1441.020168,1.336121134,1.232377466,26.11494637,6,1843.950195,1818.529663,20.2187767,21.52630806,72.39958954,77.08161163,1499.904785,0.034725782
QL343,7.834903738,0.105056491,262.2616571,1.299979804,1.259585554,26.24760056,6,400.8419189,392.4956665,20.24994278,21.5221138,72.11083984,76.64109039,1499.046387,0.144507319
QL345,26.96830586,0.526699416,1687.63955,4.585266799,1.02704828,25.36672974,6,1842.977661,1812.697876,18.25723457,22.1056385,65.19715881,78.93992615,1499.033203,0.222917691
QL345,18.64096361,0.500967204,308.1342012,4.541708504,1.060356574,25.5404644,6,401.013916,383.5197754,18.29940987,22.11127472,64.90248108,78.42201996,1500.309692,0.175874099
QL338,11.11731246,0.074078248,146.8307152,0.789498932,1.07191995,26.17411804,6,414.8226624,397.6676025,22.07175636,23.22904587,77.27046967,81.3219986,1499.869507,0.226277918
QL338,20.19262488,0.057860576,1229.475632,0.559154938,0.966548019,25.5990448,6,1854.571045,1822.733154,22.32265472,23.14249611,81.47938538,84.47187805,1500.319214,0.147867382
QL337,20.77636728,0.076772014,1344.132879,0.894898173,1.175736241,25.52351379,6,1852.144653,1818.518677,19.60158539,20.91665077,73.60914612,78.54756927,1499.950317,0.38198632
QL337,7.439634096,0.067932538,201.0768439,0.781514622,1.156846045,25.29864311,6,397.432312,385.8128052,19.52338219,20.67218971,74.33834076,78.71260834,1500.803711,0.161311567
QL339,4.477898423,0.036896555,1615.298506,0.405218086,1.092553884,24.55165863,6,1850.480225,1842.637451,19.31261826,19.9087944,72.4131546,74.64852905,1500.013306,0.061611213
QL339,1.46893998,0.044489678,338.0998126,0.49073195,1.100270468,24.67937851,6,400.8086548,398.3103027,19.34646225,20.06829262,71.95893097,74.64377594,1499.870605,0.179234967
QL341,18.09294102,0.063390125,1318.7174,0.798046563,1.262258194,26.12119102,6,1846.681641,1817.346191,20.06196785,21.23443985,72.75009155,77.00179291,1499.454712,0.202752948
QL341,6.430976107,0.060765198,215.2418238,0.785074398,1.294282584,26.12071037,6,401.1939392,394.4519043,20.14655495,20.91536713,73.1757431,75.96819305,1500.243896,0.389834881
QL340,12.93431408,0.051384088,1382.518392,0.67876847,1.319233603,25.98295784,6,1847.973511,1826.698364,19.39347076,20.39151001,71.42862701,75.10453796,1499.73938,0.315899372
QL340,3.894884511,0.042977351,240.4844393,0.578705519,1.340357697,26.04234505,6,400.7025452,394.5132446,19.4492321,20.30028915,71.48540497,74.61345673,1500.219727,0.394322246
QL342,18.30446356,0.058700034,1288.541227,0.65480127,1.117643076,25.15663528,6,1845.120361,1825.61853,20.15390396,20.79515266,73.44738007,75.78430176,1499.148926,0.252049655
QL342,6.858605021,0.067716028,222.3908694,0.737029558,1.094181874,25.10262489,6,400.7573242,393.6080933,20.20540047,20.92705917,73.94457245,76.58558655,1498.747681,0.154585049
QL389,18.47549132,0.04750913,1156.889313,0.586118915,1.222852795,27.96826744,6,1842.304688,1818.841431,24.83922958,25.52501106,79.85139465,82.05599976,1499.766724,0.140024573
QL389,4.521087885,0.040015658,206.3372837,0.492866543,1.217358197,27.92285347,6,401.2052307,395.5434265,24.9049015,25.48153114,80.2938385,82.15290833,1500.363525,0.112020195
QL388,21.96170782,0.103734527,1431.607693,1.250181946,1.219771881,28.21909142,6,1843.5896,1814.500732,24.64649773,26.10818481,78.48140717,83.13583374,1500.313477,0.108660407
QL388,8.673944089,0.081596111,209.9172004,0.984315935,1.211010677,28.10400581,6,401.4805603,390.6056519,24.78951645,25.9405632,79.68412018,83.38407135,1499.107422,0.059371077
QL390,18.38227515,0.05016291,1191.491734,0.64306267,1.271186708,28.2838192,6,1842.533936,1819.060791,24.99467468,25.74682426,79.94968414,82.3555603,1500.22998,0.184840068
QL390,5.199035434,0.04907251,215.8573557,0.640370964,1.293147412,28.42755699,6,401.1803894,394.6356506,25.10201645,25.85089874,79.80994415,82.19095612,1499.987061,0.325983733
QL392,15.42286255,0.058903083,1361.472566,0.663787326,1.125348118,26.48887253,6,1851.130981,1817.903076,22.06036949,23.35572052,76.75315857,81.25998688,1500.590454,0.06049186
QL392,6.082401461,0.056224341,207.0770658,0.643759501,1.141929213,26.65165329,6,401.6419678,388.9894104,22.26775742,23.52369118,77.02416229,81.36843109,1499.376465,0.233002707
QL391,4.292973312,0.027397875,134.0891631,0.306003866,1.100687479,26.92829132,6,400.653595,391.8365173,23.91088295,24.50730515,80.38674164,82.39186859,1500.058716,0.097458996
QL391,13.23511674,0.023789558,1020.22541,0.267364753,1.105899751,26.97383308,6,1971.807495,1944.332397,24.03050423,24.55144501,80.51013947,82.25547028,1499.05957,0.343905956
QL393,10.15344818,0.111502436,232.5086473,1.058797907,0.968928269,25.25147629,6,401.2453918,388.5414429,21.22678566,22.47135353,75.67137146,80.10813904,1501.089478,0.10977786
QL393,16.24505259,0.123113277,1587.45394,1.121277275,0.93323146,25.25654221,6,1855.246826,1833.236084,21.51756668,22.8353672,76.1733551,80.83843994,1500.041504,0.155709103
QL398,2.395782991,0.031968892,269.3291901,0.423292704,1.302643852,28.65092468,6,400.7380676,397.6598511,25.7714653,26.26628113,79.85142517,81.38458252,1498.917114,0.241966307
QL398,9.6173436,0.03137903,1423.450029,0.40370883,1.265424263,28.51568413,6,1966.610229,1954.116943,25.86165428,26.33356667,80.81564331,82.29032898,1499.704956,0.159068719
QL397,8.146819425,0.046319954,1506.011831,0.700111361,1.492146153,29.63093567,6,1844.107056,1832.787109,25.8662796,26.6842823,74.41980743,76.77327728,1500.235229,0.226279587
QL397,1.597787848,0.040100039,328.0040791,0.572127383,1.404839805,29.48877335,6,403.2393188,401.0457153,26.54992676,27.21807289,76.80604553,78.73890686,1499.960693,0.150107294
QL399,7.495239394,0.080577214,1644.152015,1.204961914,1.495636213,29.7375679,6,1848.139648,1839.805054,25.89435005,26.90058708,74.34448242,77.23345947,1499.026367,0.311418355
QL399,0.452340376,0.07960327,383.7836545,1.153920558,1.449055811,29.66895103,6,403.5798035,402.4792175,25.85419273,27.20179749,74.76621246,78.66326141,1500.338257,0.112016946
QL401,15.06762536,0.038598094,1150.069909,0.516893539,1.31521104,29.91366005,6,1838.944214,1814.917358,28.39155006,29.14486504,80.85587311,83.00122833,1499.027466,0.218439475
QL401,2.518927357,0.0346585,273.334409,0.469702487,1.328656332,30.00960541,6,402.3991699,398.3368225,28.56158829,29.24609375,80.94676208,82.88672638,1499.458374,0.135541186
QL400,9.160545845,0.01330348,691.8281733,0.185957109,1.360624302,29.75746727,6,1841.023926,1826.76001,28.03597641,28.30727386,80.70573425,81.48670197,1500.728027,0.189306453
QL400,1.138500308,0.015185887,272.6625818,0.211153586,1.35422891,29.79859543,6,402.5915833,400.7553101,28.16321182,28.47119141,80.96629333,81.85169983,1500.011841,0.103053614
QL402,7.449063395,0.037431274,1464.675167,0.518992132,1.359543618,30.38929367,6,1836.615845,1824.01416,29.12092781,29.87664413,79.98891449,82.0647049,1498.963745,0.302454978
QL402,0.651902787,0.035216252,362.7514114,0.480465131,1.33665665,30.30723,6,402.4231873,401.1552124,29.20371628,29.90341949,80.51119995,82.44020081,1500.870972,0.173629567
T128,4.384132557,0.084325094,291.0913368,1.369788998,1.553860883,24.41952705,6,400.1326904,385.4063721,11.89941978,15.94057655,31.73550034,42.51317978,1500.578735,0.104178026
T128,13.45750834,0.033935673,1066.849206,0.675143939,1.871324561,24.94553757,6,1797.066772,1753.178345,11.64099121,13.63720798,30.64948082,35.90530777,1402.06604,0.157944798
T127,3.814052287,0.0408169,226.9242272,0.757183692,1.748455795,24.73338509,6,399.8156433,387.50354,12.27408981,14.5108099,32.04835129,37.88855743,1500.028809,0.271072567
T127,14.61602378,0.041477423,1136.247398,0.757480264,1.722409936,24.51989365,6,1797.59021,1749.806641,12.12763786,14.36552143,31.85434723,37.73235321,1499.24939,0.059369214
T131,6.107495824,0.07875432,244.5132484,1.322041527,1.601202118,24.88698769,6,399.9426575,380.129303,12.46380997,16.36174202,31.79113388,41.7334938,1500.736816,0.221792936
